ID	CODE	NAME_EN	LEVEL	PARENT_ID	PARENT_CODE	InclusionNote	ExclusionNote	caseLaw	NAME_BG	NAME_CS	NAME_DA	NAME_DE	NAME_EL	NAME_ES	NAME_ET	NAME_FI	NAME_GA	NAME_FR	NAME_HR	NAME_HU	NAME_IT	NAME_LT	NAME_LV	NAME_MT	NAME_NL	NAME_PL	NAME_PT	NAME_RO	NAME_SK	NAME_SL	NAME_SV
"04441"	"04.4.4.1"	"Maintenance charges in multi-occupied buildings"	"4"	"0444"	"04.4.4"	"Includes:\r\n- co-proprietor charges for caretaking, gardening, stairwell cleaning, heating and lighting, maintenance of lifts and refuse disposal chutes, etc. in multi-occupied buildings"	"Excludes: \r\n- household services such as window cleaning, disinfecting, fumigation and pest extermination (05.6.2.9)\r\n- bodyguards (12.7.0.4)"		"Разходи за поддръжка в съсобствени жилищни сгради"	"Poplatky za údržbu domů s více uživateli"	"Vedligeholdelsesomkostninger i boligejendomme"	"Instandhaltungsgebühren in Mehrfamilienhäusern"	"Δαπάνες συντήρησης πολυκατοικιών"	"Gastos comunitarios en concepto de conservación"	"Hooldustasud korterelamutes"	"Moniasuntoisten talojen kunnossapitomaksut"	"Táillí cothabhála i bhfoirgnimh il-áitithe"	"Charges d'entretien dans les immeubles collectifs"	"Naknade za održavanje u zgradama s više stanova"	"Többlakásos házak karbantartási díjai"	"Spese condominiali"	"Priežiūros mokesčiai daugiabučiuose pastatuose"	"Apsaimniekošanas izmaksas ēkās ar vairākiem iemītniekiem"	"L-ispejjeż tal-manutenzjoni f'bini okkupat minn bosta unitajiet domestiċi"	"Onderhoudskosten in meergezinswoningen"	"Koszty administracyjne i inne opłaty związane z zamieszkiwaniem w budynkach wielorodzinnych"	"Taxas de manutenção em edifícios com vários ocupantes"	"Cheltuieli de întreținere în imobilele colective"	"Poplatky za údržbu domov obývaných viacerými domácnosťami"	"Stroški vzdrževanja v večstanovanjskih stavbah"	"Underhållsavgifter i flerbostadshus"
"04442"	"04.4.4.2"	"Security services"	"4"	"0444"	"04.4.4"	"Includes:\r\n- security services"	"Excludes: \r\n- bodyguards (12.7.0.4)"		"Охранителни услуги"	"Bezpečnostní služby"	"Sikkerhedstjenester"	"Wachdienste"	"Υπηρεσίες ασφάλειας"	"Servicios de seguridad"	"Turvateenused"	"Turvallisuuspalvelut"	"Seirbhísí slándála"	"Services de sécurité"	"Usluge zaštite"	"Védelmi szolgáltatások"	"Servizi di sicurezza"	"Saugos paslaugos"	"Apsardzes pakalpojumi"	"Servizzi tas-sigurtà"	"Bewakingsdiensten"	"Usługi ochroniarskie"	"Serviços de segurança"	"Servicii de securitate"	"Bezpečnostné služby"	"Varnostne storitve"	"Säkerhetstjänster"
"04449"	"04.4.4.9"	"Other services related to dwelling"	"4"	"0444"	"04.4.4"	"Includes:\r\n- road cleaning and chimney sweeping\r\n \r\nAlso includes:\r\n- snow removal"			"Други услуги, свързани с жилището"	"Ostatní služby související s bydlením"	"Andre tjenester i forbindelse med boliger"	"Andere Dienstleistungen im Zusammenhang mit der Wohnung"	"Άλλες υπηρεσίες που σχετίζονται με την κατοικία"	"Otros servicios relacionados con la vivienda"	"Muud eluruumiga seotud teenused"	"Muut asuntoon liittyvät palvelut"	"Seirbhísí eile a bhaineann le teaghais"	"Autres services liés au logement"	"Ostale usluge za stambeni objekt"	"Egyéb lakásszolgáltatások"	"Altri servizi per l'abitazione"	"Kitos su būstu susijusios paslaugos"	"Citi ar mājokli saistīti pakalpojumi"	"Servizzi oħrajn marbutin mal-post fejn wieħed jgħix"	"Overige diensten in verband met de woning"	"Pozostałe usługi związane z użytkowaniem mieszkania lub domu"	"Outros serviços relacionados com a habitação"	"Alte servicii legate de locuință"	"Ostatné služby týkajúce sa obydlia"	"Druge storitve v zvezi s stanovanjem"	"Andra tjänster förknippade med bostaden"
"045"	"04.5"	"Electricity, gas and other fuels"	"2"	"04"	"04"				"Електроенергия, газообразни и други горива"	"Elektrická a tepelná energie, plyn a ostatní paliva"	"Elektricitet, gas og andet brændsel"	"Strom, Gas und andere Brennstoffe"	"Ηλεκτρικό ρεύμα, φυσικό αέριο και άλλα καύσιμα"	"Electricidad, gas y otros combustibles"	"Elekter, gaas ja muud kütused"	"Sähkö, kaasu ja muut polttoaineet"	"Leictreachas, gás agus breoslaí eile"	"Électricité, gaz et autres combustibles"	"Električna energija, plin i ostala goriva"	"Villamos energia, gáz és egyéb tüzelőanyagok"	"Energia elettrica, gas e altri combustibili"	"Elektra, dujos ir kitas kuras"	"Elektroenerģija, gāze un cits kurināmais"	"Elettriku, gass u tipi ta' karburanti oħrajn"	"Elektriciteit, gas en andere brandstoffen"	"Energia elektryczna, gaz i inne paliwa"	"Eletricidade, gás e outros combustíveis"	"Electricitate, gaz și alți combustibili"	"Elektrina, plyn a ostatné palivá"	"Električna energija, plin in druga goriva"	"Elektricitet, gas och andra bränslen"
"0451"	"04.5.1"	"Electricity"	"3"	"045"	"04.5"	"Includes:\r\n- associated expenditure such as hire of meters, reading of meters, standing charges, etc."			"Електроенергия"	"Elektrická energie"	"Elektricitet"	"Strom"	"Ηλεκτρικό ρεύμα"	"Electricidad"	"Elektrienergia"	"Sähkö"	"Leictreachas"	"Électricité"	"Električna energija"	"Villamos energia"	"Energia elettrica"	"Elektra"	"Elektroenerģija"	"Elettriku"	"Elektriciteit"	"Energia elektryczna"	"Eletricidade"	"Electricitate"	"Elektrina"	"Električna energija"	"Elektricitet"
"04510"	"04.5.1.0"	"Electricity"	"4"	"0451"	"04.5.1"	"Includes:\r\n- associated expenditure such as hire of meters, reading of meters, standing charges, etc."			"Електроенергия"	"Elektrická energie"	"Elektricitet"	"Strom"	"Ηλεκτρικό ρεύμα"	"Electricidad"	"Elektrienergia"	"Sähkö"	"Leictreachas"	"Électricité"	"Električna energija"	"Villamos energia"	"Energia elettrica"	"Elektra"	"Elektroenerģija"	"Elettriku"	"Elektriciteit"	"Energia elektryczna"	"Eletricidade"	"Electricitate"	"Elektrina"	"Električna energija"	"Elektricitet"
"0452"	"04.5.2"	"Gas"	"3"	"045"	"04.5"	"Includes:\r\n- town gas and natural gas\r\n- liquefied hydrocarbons (butane, propane, etc.)\r\n\r\nAlso includes:\r\n- associated expenditure such as hire of meters, reading of meters, storage containers, standing charges, etc."			"Газообразни горива"	"Plynná paliva"	"Gas"	"Gas"	"Αέριο"	"Gas"	"Gaas"	"Kaasu"	"Gás"	"Gaz"	"Plin"	"Gáz"	"Gas"	"Dujos"	"Gāze"	"Gass"	"Gas"	"Gaz"	"Gás"	"Gaz"	"Plyn"	"Plin"	"Gas"
"04521"	"04.5.2.1"	"Natural gas and town gas"	"4"	"0452"	"04.5.2"	"Includes:\r\n- associated expenditure such as hire of meters, reading of meters, standing charges, etc."			"Природен газ и коксов газ"	"Zemní plyn a svítiplyn"	"Natur- og bygas"	"Erdgas"	"Φυσικό αέριο και αέριο πόλης"	"Gas natural y gas ciudad"	"Maagaas ja linnagaas"	"Maakaasu ja kaupunkikaasu"	"Gás nádúrtha agus gás baile"	"Gaz naturel et gaz de ville"	"Prirodni plin i gradski plin"	"Földgáz és városi gáz"	"Gas di città e gas naturale"	"Gamtinės dujos ir buitinės dujos"	"Dabasgāze un komunālā gāze"	"Gass naturali u gass tal-belt"	"Aardgas en stadsgas"	"Gaz ziemny i gaz miejski"	"Gás natural e gás de cidade"	"Gaze naturale și gaz de iluminat"	"Zemný plyn a svietiplyn"	"Zemeljski plin in mestni plin"	"Naturgas och stadsgas"
"04522"	"04.5.2.2"	"Liquefied hydrocarbons (butane, propane, etc.)"	"4"	"0452"	"04.5.2"	"Includes: \r\n- associated expenditure such as storage containers, standing charges, etc."	"Excludes: \r\n- camping gas in cylinder less than 50 kg (09.3.2.2)"		"Пропан-бутан и други втечнени въглеводороди"	"Plyn v bombách (propan, butan atd.)"	"Flydende kulbrinter (butan, propan mv.)"	"Flüssiggas, z. B. Butangas, Propangas usw."	"Υγροποιημένοι υδρογονάνθρακες (βουτάνιο, προπάνιο κ.λπ.)"	"Hidrocarburos licuados (butano, propano, etc.)"	"Veeldatud süsivesinikud (butaan, propaan jne)"	"Nestemäiset hiilivedyt (butaani, propaani yms.)"	"Hidreacarbóin leachtaithe (bútán, própán, etc.)"	"Hydrocarbures liquéfiés (butane, propane, etc.)"	"Ukapljeni ugljikovodici (butan, propan itd.)"	"Cseppfolyósított szénhidrogének (bután, propán stb.)"	"Idrocarburi liquefatti (butano, propano ecc.)"	"Suskystintieji angliavandeniliai (butanas, propanas ir kt.)"	"Sašķidrināti ogļūdeņraži (butāns, propāns u. c.)"	"Idrokarburi likwifikati (butan, propan, eċċ.)"	"Vloeibare brandstoffen"	"Węglowodory ciekłe (butan, propan itd.)."	"Hidrocarbonetos liquefeitos (butano, propano, etc.)."	"Hidrocarburi lichefiate (butan, propan etc.)."	"Skvapalnené uhľovodíky (bután, propán atď.)"	"Utekočinjeni ogljikovodiki (butan, propan itd.)"	"Flytande kolväten (butan, propan m.m.)"
"0453"	"04.5.3"	"Liquid fuels"	"3"	"045"	"04.5"	"Includes:\r\n- domestic heating and lighting oils"			"Течни горива"	"Kapalná paliva"	"Flydende brændsel"	"Heizöl"	"Υγρά καύσιμα"	"Combustibles líquidos"	"Vedelkütused"	"Nestemäiset polttoaineet"	"Breoslaí leachtacha"	"Combustibles liquides"	"Tekuća goriva"	"Folyékony tüzelőanyagok"	"Combustibili liquidi"	"Skystasis kuras"	"Šķidrais kurināmais"	"Karburanti likwidi"	"Vloeibare brandstoffen"	"Paliwa płynne"	"Combustíveis líquidos"	"Combustibili lichizi"	"Kvapalné palivá"	"Tekoča goriva"	"Flytande bränslen"
"04530"	"04.5.3.0"	"Liquid fuels"	"4"	"0453"	"04.5.3"	"Includes:\r\n- domestic heating and lighting oils"			"Течни горива"	"Kapalná paliva"	"Flydende brændsel"	"Heizöl"	"Υγρά καύσιμα"	"Combustibles líquidos"	"Vedelkütused"	"Nestemäiset polttoaineet"	"Breoslaí leachtacha"	"Combustibles liquides"	"Tekuća goriva"	"Folyékony tüzelőanyagok"	"Combustibili liquidi"	"Skystasis kuras"	"Šķidrais kurināmais"	"Karburanti likwidi"	"Vloeibare brandstoffen"	"Paliwa płynne"	"Combustíveis líquidos"	"Combustibili lichizi"	"Kvapalné palivá"	"Tekoča goriva"	"Flytande bränslen"
"0454"	"04.5.4"	"Solid fuels"	"3"	"045"	"04.5"	"Includes:\r\n- coal, coke, briquettes, pellets, firewood, charcoal, peat and the like"			"Твърди горива"	"Tuhá paliva"	"Fast brændsel"	"Feste Brennstoffe"	"Στερεά καύσιμα"	"Combustibles sólidos"	"Tahkekütused"	"Kiinteät polttoaineet"	"Breoslaí soladacha"	"Combustibles solides"	"Kruta goriva"	"Szilárd tüzelőanyagok"	"Combustibili solidi"	"Kietasis kuras"	"Cietais kurināmais"	"Karburanti solidi"	"Vaste brandstoffen"	"Paliwa stałe"	"Combustíveis sólidos"	"Combustibili solizi"	"Pevné palivá"	"Trdna goriva"	"Fasta bränslen"
"04541"	"04.5.4.1"	"Coal"	"4"	"0454"	"04.5.4"	"Includes:\r\n- coal"			"Въглища"	"Uhlí"	"Kul"	"Kohle"	"Άνθρακας"	"Carbón"	"Kivisüsi"	"Hiili"	"Gual"	"Charbon"	"Ugljen"	"Szén"	"Carbone"	"Anglys"	"Ogles"	"Faħam"	"Steenkool"	"Węgiel kamienny"	"Carvão"	"Cărbune"	"Uhlie"	"Premog"	"Kol"
"04549"	"04.5.4.9"	"Other solid fuels"	"4"	"0454"	"04.5.4"	"Includes:\r\n- coke, briquettes, pellets, firewood, charcoal, peat and the like"			"Други твърди горива"	"Ostatní tuhá paliva"	"Andet fast brændsel"	"Andere feste Brennstoffe"	"Άλλα στερεά καύσιμα"	"Otros combustibles sólidos"	"Muud tahkekütused"	"Muut kiinteät polttoaineet"	"Breoslaí soladacha eile"	"Autres combustibles solides"	"Ostala kruta goriva"	"Egyéb szilárd tüzelőanyagok"	"Altri combustibili solidi"	"Kitas kietasis kuras"	"Cits cietais kurināmais"	"Karburanti solidi oħrajn"	"Overige vaste brandstoffen"	"Pozostałe paliwa stałe"	"Outros combustíveis sólidos"	"Alți combustibili solizi"	"Ostatné tuhé palivá"	"Druga trdna goriva"	"Andra fasta bränslen"
"0455"	"04.5.5"	"Heat energy"	"3"	"045"	"04.5"	"Includes:\r\n- hot water and steam purchased from district heating plants\r\n\r\nAlso includes:\r\n- associated expenditure such as hire of meters, reading of meters, standing charges, etc.\r\n- ice used for cooling and refrigeration purposes"			"Топлоенергия"	"Tepelná energie"	"Varmeenergi"	"Fernwärme und anderes"	"Θερμική ενέργεια"	"Energía calórica"	"Soojusenergia"	"Lämpöenergia"	"Fuinneamh teasa"	"Énergie thermique"	"Toplinska energija"	"Melegvíz- és hőszolgáltatás"	"Energia termica"	"Šilumos energija"	"Siltumenerģija"	"Enerġija termali"	"Stadsverwarming"	"Energia cieplna"	"Energia térmica"	"Energie termică"	"Tepelná energia"	"Toplotna energija"	"Värmeenergi"
"04550"	"04.5.5.0"	"Heat energy"	"4"	"0455"	"04.5.5"	"Includes:\r\n- hot water and steam purchased from district heating plants\r\n\r\nAlso includes:\r\n- associated expenditure such as hire of meters, reading of meters, standing charges, etc.\r\n- ice used for cooling and refrigeration purposes"			"Топлоенергия"	"Tepelná energie"	"Varmeenergi"	"Fernwärme und anderes"	"Θερμική ενέργεια"	"Energía calórica"	"Soojusenergia"	"Lämpöenergia"	"Fuinneamh teasa"	"Énergie thermique"	"Toplinska energija"	"Melegvíz- és hőszolgáltatás"	"Energia termica"	"Šilumos energija"	"Siltumenerģija"	"Enerġija termali"	"Stadsverwarming"	"Energia cieplna"	"Energia térmica"	"Energie termică"	"Tepelná energia"	"Toplotna energija"	"Värmeenergi"
"05"	"05"	"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE"	"1"						"ЖИЛИЩНО ОБЗАВЕЖДАНЕ, СТОКИ И УСЛУГИ ЗА ДОМАКИНСТВОТО И ЗА ОБИЧАЙНОТО ПОДДЪРЖАНЕ НА ДОМА"	"BYTOVÉ VYBAVENÍ, ZAŘÍZENÍ DOMÁCNOSTI; OPRAVY"	"BOLIGUDSTYR, HUSHOLDNINGSUDSTYR OG RUTINEMÆSSIG VEDLIGEHOLDELSE AF BOLIG"	"EINRICHTUNGSGEGENSTÄNDE (MÖBEL), APPARATE, GERÄTE UND AUSRÜSTUNGEN FÜR DEN HAUSHALT SOWIE DEREN INSTANDHALTUNG"	"ΕΠΙΠΛΩΣΗ ΚΑΙ ΔΙΑΚΟΣΜΗΣΗ, ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ ΚΑΙ ΣΥΝΗΘΗΣ ΣΥΝΤΗΡΗΣΗ ΚΑΤΟΙΚΙΩΝ"	"MUEBLES, ARTÍCULOS DEL HOGAR Y ARTÍCULOS PARA EL MANTENIMIENTO CORRIENTE DEL HOGAR"	"SISUSTUS, KODUTARBED JA IGAPÄEVANE KODUHOOLDUS"	"KALUSTEET, KOTITALOUSKONEET JA YLEINEN KODINHOITO"	"FEARASTUITHE TÍ, TREALAMH TÍ AGUS GNÁTHCHOTHABHÁIL TÍ"	"MEUBLES, ARTICLES DE MÉNAGE ET ENTRETIEN COURANT DU FOYER"	"POKUĆSTVO, OPREMA ZA KUĆU I REDOVITO ODRŽAVANJE KUĆANSTVA"	"LAKBERENDEZÉS, LAKÁSFELSZERELÉS ÉS RENDSZERES LAKÁSKARBANTARTÁS"	"MOBILI, APPARECCHI DOMESTICI E MANUTENZIONE ORDINARIA DELLA CASA"	"BŪSTO APSTATYMO, NAMŲ ŪKIO ĮRANGA IR KASDIENĖ NAMŲ PRIEŽIŪRA"	"MĀJOKĻA IEKĀRTA, MĀJSAIMNIECĪBAS IERĪCES UN MĀJOKĻA IKDIENAS UZTURĒŠANA"	"GĦAMARA, TAGĦMIR TAD-DAR U MANUTENZJONI KONTINWA TAD- DAR"	"STOFFERING, HUISHOUDELIJKE APPARATEN EN DAGELIJKS ONDERHOUD VAN DE WONING"	"WYPOSAŻENIE MIESZKANIA LUB DOMU I PROWADZENIE GOSPODARSTWA DOMOWEGO"	"ACESSÓRIOS PARA O LAR, EQUIPAMENTO DOMÉSTICO E MANUTENÇÃO CORRENTE DA HABITAÇÃO"	"ARTICOLE DE MOBILIER, ECHIPAMENTE DE UZ CASNIC ȘI ÎNTREȚINEREA CURENTĂ A LOCUINȚEI"	"NÁBYTOK, BYTOVÉ ZARIADENIE A BEŽNÁ ÚDRŽBA DOMÁCNOSTI"	"STANOVANJSKA IN GOSPODINJSKA OPREMA IN TEKOČE VZDRŽEVANJE STANOVANJ"	"MÖBLER, HUSHÅLLSUTRUSTNING OCH RUTINUNDERHÅLL AV BOSTADEN"
"051"	"05.1"	"Furniture and furnishings, carpets and other floor coverings"	"2"	"05"	"05"				"Мебели и предмети за обзавеждане, килими и други подови настилки"	"Nábytek, bytové zařízení a výzdoba, koberce a ostatní podlahové krytiny"	"Møbler og boligudstyr, tæpper og anden gulvbelægning"	"Möbel und Einrichtungsgegenstände, Teppiche und andere Bodenbeläge"	"Έπιπλα και διακοσμητικά είδη, τάπητες και άλλα καλύμματα δαπέδου"	"Muebles y accesorios, alfombras y otros revestimientos de suelos"	"Mööbel ja sisustus, vaibad ja muud põrandakatted"	"Huonekalut ja kalusteet, matot ja muut lattianpäällysteet"	"Troscán agus fearastuithe, cairpéid agus clúdaigh urláir eile"	"Meubles, articles d'ameublement, tapis et autres revêtements de sol"	"Namještaj i pokućstvo, tepisi i druge podne obloge"	"Bútorok, lakberendezési cikkek, szőnyegek és egyéb padlóburkolatok"	"Mobili e arredi, tappeti e altri rivestimenti per pavimenti"	"Baldai ir būsto apstatymo reikmenys, kilimai ir kita grindų danga"	"Mēbeles un mājokļa iekārta, paklāji un citi grīdas segumi"	"Għamara u tagħmir tad-dar, twapet u kisi ieħor tal-art"	"Meubelen en stoffering, vloerbedekking"	"Meble i wyposażenie mieszkania lub domu, dywany i inne wykładziny podłogowe"	"Mobiliário e acessórios, carpetes e outros revestimentos para pavimentos"	"Mobilă, articole de mobilier, covoare și alte materiale de acoperire a podelelor"	"Nábytok a bytové zariadenie, koberce a iné podlahové krytiny"	"Pohištvo in stanovanjska oprema, preproge in druge talne obloge"	"Möbler och inventarier, mattor och andra golvbeläggningar"
"0511"	"05.1.1"	"Furniture and furnishings"	"3"	"051"	"05.1"	"Includes:\r\n- beds, sofas, couches, tables, chairs, cupboards, chests of drawers and bookshelves\r\n- lighting equipment such as ceiling lights, standard lamps, globe lights and bedside lamps\r\n- pictures, sculptures, engravings, tapestries and other art objects including reproductions of works of art and other ornaments\r\n- screens, folding partitions and other furniture and fixtures\r\n\r\nAlso includes:\r\n- delivery and installation when applicable\r\n- base mattresses, mattresses, tatamis\r\n- bathroom cabinets\r\n- baby furniture such as cradles, high chairs and playpens\r\n- blinds\r\n- camping and garden furniture\r\n- mirrors, candleholders and candlesticks"	"Excludes: \r\n- bedding and sunshades (05.2.0)\r\n- safes (05.3.1)\r\n- ornamental glass and ceramic articles (05.4.0)\r\n- clocks (12.3.1)\r\n- wall thermometers and barometers (12.3.2)\r\n- carrycots and pushchairs (12.3.2)\r\n- works of art and antique furniture acquired primarily as stores of value (capital formation)"		"Мебели и предмети за обзавеждане"	"Nábytek a bytové zařízení"	"Møbler og boligudstyr"	"Möbel und Einrichtungsgegenstände"	"Έπιπλα και διακοσμητικά είδη"	"Muebles y accesorios"	"Mööbel ja sisustus"	"Huonekalut ja kalusteet"	"Troscán agus fearastuithe"	"Meubles et articles d'ameublement"	"Namještaj i pokućstvo"	"Bútorok és lakberendezési cikkek"	"Mobili e arredi"	"Baldai ir būsto apstatymo reikmenys"	"Mēbeles un mājokļa iekārta"	"Għamara u tagħmir tad-dar"	"Meubelen en stoffering"	"Meble i wyposażenie mieszkania lub domu"	"Mobiliário e acessórios"	"Mobilă și articole de mobilier"	"Nábytok a bytové zariadenie"	"Pohištvo in stanovanjska oprema"	"Möbler och inventarier"
"05111"	"05.1.1.1"	"Household furniture"	"4"	"0511"	"05.1.1"	"Includes:\r\n- sofas, couches, tables, chairs, cupboards, chests of drawers and bookshelves\r\n- beds, mattresses, base-mattresses, (tatamis), wardrobes, chests of drawers, bedside tables\r\n- kitchen tables and chairs, cupboards and surfaces\r\n- furniture primarily for bathroom use"	"Excludes: \r\n- antique furniture acquired primarily as stores of value (capital formation), bunk beds baby furniture such as cradles, highchairs and play-pens (05.1.1.9)"		"Мебели за дома"	"Nábytek do domácnosti"	"Boligmøbler"	"Wohnmöbel"	"Οικιακά έπιπλα"	"Muebles para el hogar"	"Kodumööbel"	"Kodin kalusteet"	"Troscán tí"	"Meubles de maison"	"Kućanski namještaj"	"Lakásbútorok"	"Mobili per la casa"	"Namų ūkio baldai"	"Mājokļa mēbeles"	"Għamara tad-dar"	"Meubelen voor het huis"	"Meble do mieszkania lub domu"	"Mobiliário de uso doméstico"	"Mobilier de uz casnic"	"Nábytok do domácnosti"	"Gospodinjsko pohištvo"	"Möbler för hemmet"
"05112"	"05.1.1.2"	"Garden furniture"	"4"	"0511"	"05.1.1"	"Includes:\r\n- furniture primarily for gardens use"			"Мебели за градина"	"Zahradní nábytek"	"Havemøbler"	"Gartenmöbel"	"Έπιπλα κήπου"	"Muebles de jardín"	"Aiamööbel"	"Puutarhakalusteet"	"Troscán gairdín"	"Meubles de jardin"	"Vrtni namještaj"	"Kerti bútorok"	"Mobili da giardino"	"Sodo baldai"	"Dārza mēbeles"	"Għamara tal-ġnien"	"Tuinmeubelen"	"Meble ogrodowe"	"Mobiliário de jardim"	"Mobilier de grădină"	"Záhradný nábytok"	"Vrtno pohištvo"	"Trädgårdsmöbler"
"05113"	"05.1.1.3"	"Lighting equipment"	"4"	"0511"	"05.1.1"	"Includes:\r\n- lighting equipment such as ceiling lights, standard lamps, globe lights and bedside lamps"			"Осветители"	"Osvětlovací zařízení"	"Belysningsudstyr"	"Beleuchtungsausstattung"	"Είδη φωτισμού"	"Equipos de iluminación"	"Valgustusseadmed"	"Valaisimet"	"Trealamh soilsiúcháin"	"Appareils d'éclairage"	"Rasvjetna oprema"	"Világítóberendezések"	"Articoli per l'illuminazione"	"Apšvietimo įranga"	"Apgaismes ierīces"	"Tagħmir tad-dawl"	"Verlichtingsapparatuur"	"Sprzęt oświetleniowy"	"Equipamentos de iluminação"	"Echipamente de iluminat"	"Osvetľovacie zariadenie"	"Oprema za razsvetljavo"	"Belysningsutrustning"
"05119"	"05.1.1.9"	"Other furniture and furnishings"	"4"	"0511"	"05.1.1"	"Includes:\r\n- bunk bed, baby furniture such as cradles, highchairs and play-pens\r\n- pictures, sculptures, engravings, tapestries and other art objects including reproductions of works of art and other ornaments\r\n- screens, folding partitions, blinds, mirrors, candleholders, candlesticks"	"Excludes: \r\n- bedding and sunshades (05.2.0.9)\r\n- safes (05.3.1.9)\r\n- ornamental glass and ceramic articles (05.4.0.1)\r\n- clocks (12.3.1.2)\r\n- carrycots and pushchairs (12.3.2.2)\r\n- wall thermometers and barometers (12.3.2.9)\r\n- works of art acquired primarily as stores of value (capital formation)"		"Други мебели и предмети за обзавеждане и украса"	"Ostatní nábytek a bytové zařízení"	"Andre møbler og andet boligudstyr"	"Andere Möbel und Einrichtungsgegenstände"	"Άλλα έπιπλα και διακοσμητικά είδη"	"Otros muebles y accesorios"	"Muu mööbel ja sisustus"	"Muut huonekalut ja kalusteet"	"Troscán eile agus fearastuithe"	"Autres meubles et articles d'ameublement"	"Ostali namještaj i pokućstvo"	"Egyéb bútorok és lakberendezési cikkek"	"Altri mobili e arredi"	"Kiti baldai ir būsto apstatymo reikmenys"	"Citas mēbeles un mājokļa iekārtas"	"Għamara oħra u tagħmir ieħor tad-dar"	"Overige meubelen en stoffering"	"Pozostałe meble i wyposażenie mieszkania lub domu"	"Outro mobiliário e acessórios"	"Alte mobile și articole de mobilier"	"Ostatný nábytok a bytové zariadenie"	"Drugo pohištvo in stanovanjska oprema"	"Andra möbler och inventarier"
"0512"	"05.1.2"	"Carpets and other floor coverings"	"3"	"051"	"05.1"	"Includes:\r\n- loose carpets, fitted carpets, linoleum and other such floor coverings\r\n\r\nAlso includes:\r\n- laying of floor coverings"	"Excludes:\r\n- any fixed installations like floor tiles (04.3.1)\r\n- bathroom mats, rush mats and doormats (05.2.0)\r\n- antique floor coverings acquired primarily as stores of value (capital formation)"		"Килими и други подови настилки"	"Koberce a ostatní podlahové krytiny"	"Tæpper og anden gulvbelægning"	"Teppiche und andere Bodenbeläge"	"Τάπητες και άλλα καλύμματα δαπέδου"	"Alfombras y otros revestimientos de suelos"	"Vaibad ja muud põrandakatted"	"Matot ja muut lattianpäällysteet"	"Cairpéid agus clúdaigh urláir eile"	"Tapis et revêtements de sol divers"	"Tepisi i ostale podne prostirke"	"Szőnyegek és egyéb padlóburkolatok"	"Tappeti e altri rivestimenti per pavimenti"	"Kilimai ir kita grindų danga"	"Paklāji un citi grīdas segumi"	"Twapet u kisi ieħor tal-art"	"Vloerbedekking"	"Dywany i inne wykładziny podłogowe"	"Carpetes e outros revestimentos para pavimentos"	"Covoare și alte materiale de acoperire a podelelor"	"Koberce a ostatné podlahové krytiny"	"Preproge in druge talne obloge"	"Mattor och andra golvbeläggningar"
"05121"	"05.1.2.1"	"Carpets and rugs"	"4"	"0512"	"05.1.2"	"Includes:\r\n- loose carpets, fitted carpets"	"Excludes:\r\n- services of laying of fitted carpets and floor coverings (05.1.2.3)\r\n- bathroom mats, rush mats and door mats (05.2.0.9)\r\n- antique floor coverings acquired primarily as an investment (capital formation)"		"Килими и пътеки"	"Koberce a koberečky"	"Gulvtæpper"	"Teppiche und Vorleger"	"Τάπητες και χαλιά"	"Alfombras y moquetas"	"Vaibad ja vaipkatted"	"Matot"	"Cairpéid agus rugaí"	"Tapis et moquettes"	"Tepisi i sagovi"	"Szőnyegek"	"Tappeti"	"Kilimai ir kilimėliai"	"Paklāji un grīdsegas"	"Twapet u raggs"	"Tapijten"	"Dywany i inne wykładziny dywanowe"	"Carpetes e outros revestimentos têxteis para pavimentos"	"Covoare și mochete"	"Koberce a rohože"	"Preproge in druge tekstilne talne obloge"	"Mattor"
"05122"	"05.1.2.2"	"Other floor coverings"	"4"	"0512"	"05.1.2"	"Includes:\r\n- resilient floor coverings, such as vinyl, linoleum etc."	"Excludes: \r\n- services of laying of fitted carpets and floor coverings (05.1.2.3)"		"Други подови настилки"	"Ostatní podlahové krytiny"	"Anden gulvbelægning"	"Andere Bodenbeläge"	"Άλλες επενδύσεις δαπέδου"	"Otros revestimientos de suelos"	"Muud põrandakatted"	"Muut lattianpäällysteet"	"Clúdaigh urláir eile"	"Autres revêtements de sol"	"Ostale podne prostirke"	"Egyéb padlóburkolatok"	"Altri rivestimenti per pavimenti"	"Kita grindų danga"	"Citi grīdas segumi"	"Kisi ieħor tal-art"	"Overige vloerbedekking"	"Inne wykładziny podłogowe"	"Outros revestimentos para pavimentos"	"Alte materiale de acoperire a podelelor"	"Ostatné podlahové krytiny"	"Druge talne obloge"	"Andra golvbeläggningar"
