name,category,code,prediction,correct_option,match
prime hydration lemon & lime,energy drinks,01.2.9.0,01.1.6.2,True,False
peroni stile capri birra chiara,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
mont valentino dry white wine  750ml,wine,02.1.2.1,02.1.2.1,True,True
rio d'oro(r) orangensaft 1 l,saft & nektar,01.2.1.0,01.2.9.0,True,False
okf aloe vera king original drink,juices,01.2.9.0,01.2.9.0,True,True
aquavitamin arancia,"acqua, bibite e succhi | bibite",01.2.9.0,01.2.1.0,True,False
amaroy bio-kaffee 500 g,kaffee,01.2.2.0,01.2.2.0,True,True
biona maple agave syrup 15% off,organic products,01.1.8.2,01.2.1.0,False,False
change gerard bertrand cabernet sauvignon 750ml,wine,02.1.2.1,,True,False
amaro averna 29deg 70cl,amari,02.1.1.0,03.1.3.1,False,False
monster energy pipeline punch 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,,True,False
burro,"latticini | latte, uova e burro",01.1.5.2,01.1.4.7,False,False
evian natural mineral water,water,01.2.5.0,,True,False
cirio olio oliva 1 lt,olio e conserve | olio,01.1.5.1,01.1.7.9,True,False
nescafe gold latte iced van 7sac,beverages | coffee & tea,01.1.4.7,,True,False
candidato organic temranillo wine,organic drinks,02.1.2.1,02.1.2.1,True,True
cachaca caicara 38% 1l,amari,02.1.1.0,01.1.8.6,False,False
rauch bravo multivitamin nectar 1ltr,juices & smoothies,01.2.1.0,01.2.1.0,True,True
"coca cola zero 1,32 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,,True,False
nescafe caffe espresso decaffeinato 96 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,,True,False
cody's beer with citrus and vodka taste,beer,02.1.9.0,,True,False
sir winston zenzero & arancia te verde,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,,False,False
lipton ice tea peach,iced tea,01.2.3.0,,True,False
"nescafe dolce gusto espresso roma 99,2 gr","zucchero, caffe', te', infusi | caffe'",01.2.2.0,,True,False
kafer shiraz australia,wine,02.1.2.1,02.1.2.1,True,True
fabiano valpolicella storica 2019,wine,02.1.2.1,,True,False
beefeater pink gin 700 ml,spirits,02.1.1.0,,True,False
innocent fp plus berry 750ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.1.0,01.2.1.0,True,True
lunardi soave,wine cellar | wine,02.1.2.1,02.1.2.1,True,True
bottega bottega prosecco rose' 75cl,wine,02.1.2.1,02.1.2.1,True,True
"paulaner natur radler 0,5 l",bier,02.1.9.0,02.1.3.0,False,False
caffe motta dolce gusto arabica x16 120gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,01.2.2.0,True,True
flora vegan spread,spreads,01.1.5.3,09.3.1.2,False,False
pfanner peach drink 2l,beverages | juices & ice-teas,01.2.1.0,,False,False
viti&vini ortrugo doc colli piacentini 375 ml,"acqua, bevande, alcolici | vini",02.1.2.1,,True,False
lunetta spumante rose 75cl,wine cellar | wine,02.1.2.1,02.1.2.1,True,True
nescafe original 2 in 1  9g,coffee,01.2.2.0,01.2.2.0,True,True
riso scotti organic rice and almond drink,organic products,01.1.4.4,02.4.0.0,False,False
dany chicken luncheon meat 340g,tins cans & packets,01.1.9.1,01.1.2.2,True,False
cumbres de gredos vino trinto brik,wine,02.1.2.1,04.5.4.9,True,False
food for all artigiano del bio riso basmati integrale,organic products,01.1.1.5,,True,False
duchessa lia moscato 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,02.1.2.1,True,True
seltz sifone,"vini, birra e liquori | liquori",01.2.6.0,02.1.2.1,False,False
novosal,"conserve | olio, aceto e sale",01.1.9.3,01.1.9.3,True,True
brothers cider strawberry & lime 500ml,drinks | beers & ciders | cider,02.1.2.2,,True,False
cantina valtidone barbera frizzante colli piacentini doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,True
lactel uht whole milk 3.5% 1lt,"chilled and dairy | milk, butter & eggs",01.1.4.1,01.1.4.1,True,True
pepsi max zero 1.5ltr,soft drinks,01.2.6.0,01.2.6.0,True,True
latte magro scremato uht,"latticini | latte, uova e burro",01.1.4.2,01.1.4.7,True,False
rauch happy day coco pineapple 1 ltr,juices & smoothies,01.2.1.0,01.2.1.0,True,True
"vicentini tisana mago merlino liquirizia,anice e finocchio","zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,01.1.9.3,False,False
happy chef butter beans 400g,tins cans & packets,01.1.7.9,01.1.9.1,False,False
vladivar vodka 700 grms,spirits,02.1.1.0,02.1.1.0,True,True
kwak birra strong ale ambrata 330 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
innocent blueberries peaches & apples smoothie  750 ml,chilled fruit juice & smoothie,01.2.1.0,01.2.1.0,True,True
vinum merum bellamar gutturnio classico superiore doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,,True,False
espresso caffe e ginseng,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
"burro gold 2,5kg bayernland",burro & margarina,01.1.5.2,01.1.8.3,False,False
moet & chandon moet & chandon champagne,wine,02.1.2.1,02.1.2.1,True,True
fiorentini rice snack chili organic bio  gluten free ( g. f. s),organic products,01.1.1.9,,False,False
burro lurpak leggeremente salato 200g,burro & margarina,01.1.5.2,01.1.8.3,True,False
penfolds koonunga hill chardonnay,wine,02.1.2.1,02.1.2.1,True,True
te' allo zenzero e agrumi 25filtri 50g twining,infusi,01.2.3.0,01.1.8.3,False,False
arabella sauv blanc 75cl,drinks | wine | white wine,02.1.2.1,02.1.2.1,True,True
food for all fino sale himalayano,organic products,01.1.9.3,11.1.2.9,False,False
primia olio friggimix,olio e conserve | olio,01.1.5.1,01.1.5.9,True,False
food for all grosso sale himalayano,organic products,01.1.9.3,11.1.1.2,False,False
red bull red watermelon 250ml,drinks | energy drinks | energy drinks,01.2.9.0,01.2.9.0,True,True
saquella italla espresso gran creama 500 g,coffee,01.2.2.0,,True,False
russo maraschino liquore per dolci 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.1.0,True,True
natural by oglivy organic honey foe tea & coffee,organic products,01.1.9.3,,False,False
pascual bi frutas tropical,juices,01.2.1.0,01.2.1.0,True,True
lurpak spreadble unsalted 250 grms,"milk, butter & eggs",01.1.5.2,01.1.4.2,False,False
albarino pazo barrantes,wine,02.1.2.1,,True,False
expressi typ cacao cioccolata 240g,kaffee,01.2.4.0,01.2.4.0,True,True
perrier sparkling water 330 ml,bottled water,01.2.5.0,05.3.2.2,True,False
uova bio,"latticini | latte, uova e burro",01.1.4.8,01.1.4.8,True,True
pfanner peach nectar 1l,beverages | juices & ice-teas,01.2.1.0,01.2.1.0,True,True
lavazza tierra brazil ground 180g,beverages | coffee & tea,01.2.2.0,01.2.2.0,True,True
carrefour squeezed blond oranges,juices,01.2.1.0,01.2.1.0,True,True
"hohes c multivitaminsaft 1,5 l",saft & nektar,01.2.1.0,06.1.1.1,True,False
te verde aromatizzato lampone e frutto della passione 20 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,,True,False
quargentan rosso,wine,02.1.2.1,,True,False
francoli grappa arneis e bracchetto,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.1.0,True,True
diet radisson radisson corn cakes,organic products,01.1.1.4,,True,False
step apple pear drink 2 pcs.,soft drinks,01.2.1.0,,False,False
percorsi di gusto primia nettare di mirtillo,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
decaffe' miscela di caffe decaffeinato,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
oransoda aranciata italiana 200 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.2.1,False,False
mirinda orange 6x330ml,soft drinks,01.2.6.0,,True,False
okf coco natural coconut drink 1.5 ltr,bottled water,01.2.9.0,,False,False
"nescafe cappuccino extra cremoso 186,4 gr","zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,True
la canva barbera del piemonte doc 3 lt,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.1.0,True,False
leffe beer brune (dark) 6.5% 330ml,drinks | beers & ciders | beers & lagers,02.1.3.0,,True,False
rum galleon white spirit 38deg 70cl noi&voi,tequila & rum,02.1.1.0,,True,False
glenkinchie malt whiskey 12 y.o 70cl,drinks | spirits & liqueurs | whisky,02.1.1.0,,True,False
castelli romeo e giulietta soave,wine,02.1.2.1,02.1.2.1,True,True
latte alta digeribilita parzialmente scremato senza lattosio,"latticini | latte, uova e burro",01.1.4.2,01.1.4.3,False,False
primia bevanda ananas e mela,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
anterra moscato sicilia,wine,02.1.2.1,,True,False
ecomil ecomil almond milk original,organic products,01.1.4.4,01.1.4.4,True,True
i can't believe it's not butter gold,spreads,01.1.5.2,01.1.4.6,True,False
distillato d'uva,"vini, birra e liquori | liquori",02.1.1.0,02.1.2.1,False,False
pfanner orange juice 1l,beverages | juices & ice-teas,01.2.1.0,01.2.1.0,True,True
yellow tail merlot 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
kenco inst salt caramel latte 162.4g,beverages | coffee & tea,01.1.4.7,01.2.2.0,False,False
acqua panna still water x,water,01.2.5.0,01.1.4.7,True,False
carrefour bio whole cane sugar,organic products,01.1.8.1,01.1.8.1,True,True
bacardi breezer pineapple 275 ml,spirits,02.1.9.0,01.1.6.1,False,False
lakeland yellow unsalted butter 250g,"milk, butter & eggs",01.1.5.2,01.1.4.3,False,False
del monte del monte peach chunks in juice pot x4 113g,tins cans & packets,01.1.6.9,,True,False
maynards fine porto ruby,wine,02.1.2.1,02.1.2.1,True,True
ron barcelo' cream rum 700 ml,spirits,02.1.1.0,,True,False
lemonsoda la limonata 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,01.2.6.0,True,True
safari orange juice,juices,01.2.1.0,01.2.1.0,True,True
via verde bio primia olio di semi di mais 750 ml,olio e conserve | olio,01.1.5.1,01.1.5.1,True,True
monster energy 500ml,soft drinks,01.2.9.0,01.2.9.0,True,True
"don simon sangria 1,5 lt","acqua, bevande, alcolici | liquori",02.1.2.1,02.1.1.0,True,False
milsani frucht auf joghurt 150 g,milchprodukte,01.1.4.6,01.1.4.4,True,False
fanta arancia rossa zero 660 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,,False,False
rauch bravo sunny orange- mango,juices,01.2.1.0,01.2.1.0,True,True
bottega limoncello liquer,alcohol,02.1.1.0,01.2.6.0,True,False
landessa ice coffee espresso 230 ml,coffee,01.2.2.0,01.2.2.0,True,True
la bella sedara sicilia doc,"vini, birra e liquori | vini",02.1.2.1,,True,False
carrefour lattina limonata,soft drinks,01.2.6.0,11.1.1.2,True,False
lavazza a modo mio espresso intensita 12 16 pcs.,coffee,01.2.2.0,,True,False
via verde bio primia infuso finocchio 40 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,01.2.2.0,True,False
del monte pizza sauce  400 grms,tins cans & packets,01.1.9.3,,False,False
birra premium,"vini, birra e liquori | birra",02.1.3.0,02.1.2.1,True,False
benecol light spread 250g,"chilled and dairy | milk, butter & eggs",01.1.5.2,,False,False
coricelli olive oil 250ml,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1,,True,False
blossom hill red 75cl,drinks | wine | red wine,02.1.2.1,,True,False
carrefour classic tomato puree 700 grms,tins cans & packets,01.1.9.3,01.1.6.9,False,False
kopparberg naked apple cider 330 ml,beer & cider,02.1.2.2,,True,False
russo crema di limone 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,,False,False
horlicks malted drink light 500gr,food cupboard groceries | hot chocolate & malted drinks | malted drinks,01.2.9.0,11.1.1.2,False,False
ballantine's scoth whisky,alcohol,02.1.1.0,02.1.9.0,True,False
meadow lea margarine original 1 kg,"milk, butter & eggs",01.1.5.3,,True,False
fernet-branca del famoso,alcohol,02.1.1.0,,True,False
bolero instant drink sugar free honey melon 090 grms,soft drinks,01.2.9.0,,False,False
caliza chardonnay,wine,02.1.2.1,,True,False
liquore di limoni,"vini, birra e liquori | liquori",02.1.1.0,02.1.9.0,True,False
groot chicken luncheon meat 340 grms,tins cans & packets,01.1.9.1,01.1.2.2,False,False
pirovano nero d'avola igt terre siciliane 75cl,drinks | wine | red wine,02.1.2.1,,True,False
regular,"acqua, bibite e succhi | bibite",01.2.6.0,01.2.9.0,True,False
flora buttery 500gr,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2,01.1.4.5,False,False
diamante red kidney beans 390 g,tins cans & packets,01.1.7.9,01.1.7.6,True,False
ramazzotti sambuca,"acqua, bevande, alcolici | liquori",02.1.1.0,02.1.2.1,True,False
zonin prosecchino 600 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,02.1.2.1,True,True
carrefour classic cola,soft drinks,01.2.6.0,11.1.1.2,True,False
monster vr46 energy drink the doctor 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,,True,False
biona peanut butter crunchy 15% off,organic products,01.1.8.4,02.4.0.0,True,False
j.bally rhum ambre agricole 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.2.0.0,True,False
san valentino rose .75l,wine cellar | wine,02.1.2.1,,True,False
veroni isotonic drink orange,energy drinks,01.2.9.0,02.1.9.0,True,False
dante classico olio di oliva 750 ml,olio e conserve | olio,01.1.5.1,,True,False
bavaria holland beer @ EUR3.99,beer,02.1.3.0,02.2.0.0,True,False
maxwell coffee 200g offer,beverages | coffee & tea,01.2.2.0,01.2.2.0,True,True
old jamaican ginger beer,beer,02.1.3.0,01.1.1.3,True,False
safari peach juice,juices,01.2.1.0,01.1.8.3,True,False
verdeca puglia igp,"vini, birra e liquori | vini",02.1.2.1,,True,False
lavazza dgc espresso cremoso 16 pods,beverages | coffee & tea,01.2.2.0,01.2.2.0,True,True
somersby apple cider can 330ml,beer & cider,02.1.2.2,,True,False
bacardi 1l,beverages | spirits,02.1.1.0,02.1.2.1,True,False
circeo bianco dop,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,True
leonardo chianti italia 750 ml,wine,02.1.2.1,,True,False
birra double ambree,"vini, birra e liquori | birra",02.1.3.0,02.1.3.0,True,True
zonin moscato provincia di pavia,wine,02.1.2.1,02.1.2.1,True,True
heinz green peas 400 grms,tins cans & packets,01.1.7.9,01.1.7.3,True,False
"beck's pils 0,5 l",bier,02.1.3.0,02.2.0.0,True,False
san giuliano olio extra vergine di oliva amabile 1 lt,olio e conserve | olio,01.1.5.1,,True,False
j.moreau & fils sauvignon les coches,wine,02.1.2.1,,True,False
grants whiskey 70cl,beverages | spirits,02.1.1.0,02.1.1.0,True,True
la cheteau vouvray,wine,02.1.2.1,02.1.2.1,True,True
rauch happy day banana juice,juices,01.2.1.0,01.2.1.0,True,True
erin hotcup beef & vegetable with croutons soup 3 p,tins cans & packets,01.1.9.1,01.1.2.5,True,False
avonmore pure irish unsalted butter,spreads,01.1.5.2,,True,False
camomilla con melatonina 14 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,01.2.2.0,False,False
polara aranciata,soft drinks,01.2.6.0,01.2.4.0,True,False
trs yellow split peas 500g,tins cans & packets,01.1.7.9,01.1.7.9,True,True
pfanner bce berry 2l,beverages | juices & ice-teas,01.2.1.0,01.2.3.0,False,False
john west tuna chunks in sunflower oil 145 grms,tins cans & packets,01.1.9.1,01.1.3.1,False,False
coca cola 1.5l x6,beverages | soft drinks & mixers,01.2.6.0,02.1.9.0,True,False
crema e gusto classico cialde per macchina espresso,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
bavaria premium lager,beer,02.1.3.0,02.2.0.0,True,False
viaggio espresso intenso capsules x10 - dolce gusto compatible 70g,coffee,01.2.2.0,,True,False
food for all artigiano del bio farina di kamut biologica,organic products,01.1.1.2,02.1.1.0,False,False
margarina foglia d'oro 250gr,burro & margarina,01.1.5.3,01.1.5.3,True,True
pukka elderberry & echinacea 20pcs.,tea,01.2.3.0,,True,False
peter & peter riesling mosel trocken 750 ml,wine,02.1.2.1,02.1.1.0,True,False
corvo rosso 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
biona organic spelt lasagna,organic products,01.1.1.5,01.1.1.5,True,True
good earth blueberries 150 grms,tins cans & packets,01.1.6.7,01.1.6.4,False,False
elite marrowfat peas 140 grms,tins cans & packets,01.1.7.9,,True,False
chivas regal premium whisky 700 ml,spirits,02.1.1.0,01.2.2.0,True,False
codici - salento primitivo  x,wine,02.1.2.1,02.1.2.1,True,True
simpl succo arancia rosso,juices,01.2.1.0,01.2.1.0,True,True
100% succo tropicale,"acqua, bibite e succhi | succhi",01.2.1.0,01.2.1.0,True,True
carrefour peach juice 200ml,juices & smoothies,01.2.1.0,01.2.1.0,True,True
birra moretti birra chiara filtrata a freddo 550 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.2.0.0,True,False
cocco di mamma 21deg 70cl antiche distillerie,tequila & rum,02.1.1.0,02.1.9.0,True,False
cirio borlotti beans 410 grms,tins cans & packets,01.1.7.9,01.1.7.3,True,False
il feudo grand cuvee brut 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,02.1.2.1,True,True
rio d'oro orangendirektsaft 1 l,saft & nektar,01.2.1.0,01.1.6.2,True,False
beavertown stone buenaveza salt n lime lager,beer,02.1.3.0,,True,False
idrolitina preparato per acqua da tavola 200 gr,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,01.2.9.0,True,True
sainsbury's red grape juice 1ltr,drinks | smoothies & juice drinks | long life juice,01.2.1.0,02.2.0.0,True,False
frisian flag creamy evaporated milk 170g,tins cans & packets,01.1.4.3,,True,False
"statesman blended scotch whisky 0,7 l",spirituosen,02.1.1.0,,True,False
baladin rock n roll,beer,02.1.3.0,,True,False
damilano moscato d'asti 2021,wine,02.1.2.1,02.1.2.1,True,True
d'argent gin rose 40%,alcohol,02.1.1.0,,True,False
bonduelle mixed vegetables 200 grms,tins cans & packets,01.1.7.9,01.1.7.4,True,False
spritzzer white,wine,02.1.2.1,02.1.2.1,True,True
havana club anejo 7 anos 40deg 70cl rum puro cubano,tequila & rum,02.1.1.0,07.2.2.3,True,False
vicentini tisana bacio di biancaneve mela e cannella 45 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0,,False,False
"estathe alla pesca senza zucchero 1,5l",thè,01.2.3.0,01.1.3.1,False,False
maralba collio ribolla gialla doc,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,True
ha penny dublin dry gin,alcohol,02.1.1.0,,True,False
negroamaro salento igt,"vini, birra e liquori | vini",02.1.2.1,02.1.2.1,True,True
nescafe non dairy mandorla macchiato x6x16gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,01.1.4.7,False,False
primia succo di frutta ace 600 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
kinnie can 6x,soft drinks,01.2.6.0,01.2.6.0,True,True
ahmad peach & passion fruit  flav. tea x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,01.2.3.0,True,True
tetley super fruits tea immune lemon & ginger x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,01.2.3.0,True,True
gusto limone,"acqua, bibite e succhi | bibite",01.2.6.0,01.2.6.0,True,True
la bella lola premium ale birra chiara 330 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
elite baked beans 15% off 210 grms,tins cans & packets,01.1.7.9,01.1.7.3,False,False
barzotto foresto liquore tipico,"acqua, bevande, alcolici | liquori",02.1.1.0,,True,False
grolsch 33cl,drinks | beers & ciders | beers & lagers,02.1.3.0,02.2.0.0,True,False
cappy multi vitamin juice,juices,01.2.1.0,01.2.1.0,True,True
le bolle spuma pinot noir sauvignon 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,02.2.0.0,True,False
meridiana nexus merlot wine,wine,02.1.2.1,02.1.2.1,True,True
tonica zero,"acqua, bibite e succhi | bibite",01.2.6.0,01.2.9.0,True,False
latte intero uht,"latticini | latte, uova e burro",01.1.4.1,01.1.4.7,True,False
gatorade orange 500ml,soft drinks,01.2.6.0,,True,False
marsovin antonin barrel aged,wine,02.1.2.1,02.1.2.1,True,True
coldpress golden delicious apple juice 250 ml,juices & smoothies,01.2.1.0,01.2.1.0,True,True
gato negro cabernet merlot 75cl,drinks | wine | red wine,02.1.2.1,,True,False
mirinda,soft drinks,01.2.6.0,,True,False
meadow lea salt reduced 500g,"chilled and dairy | milk, butter & eggs",01.1.5.2,,False,False
twinings te english breakfast classico 50 filtri,infusi,01.2.3.0,01.1.9.3,False,False
percorsi di gusto primia nettare di lampone 200 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
messina cristalli di sale birra chiara 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0,,True,False
nescafe gold blend decaff 100g,coffee,01.2.2.0,01.2.2.0,True,True
la trappe trappist birra blonde 330 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
twining infuse freddo mango/arancia/frutto della passione,infusi,01.2.3.0,01.1.6.6,False,False
carrefour bio gallette di grano saraceno,organic products,01.1.1.9,01.1.7.9,False,False
bavaria alcohol free 0.33cl x1 can,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.3.0,02.1.3.0,True,True
burco pure soya spread,spreads,01.1.5.3,01.1.7.3,False,False
borbone superginseg caffe compat dolce gusto 16pcs.,coffee,01.2.2.0,01.2.2.0,True,True
ahmad peach & raspberry infusion 20pcs.,tea,01.2.3.0,01.2.3.0,True,True
heineken draught keg beer,beer,02.1.3.0,02.1.9.0,True,False
rum black spiced,"vini, birra e liquori | liquori",02.1.1.0,,True,False
la valette wine gift pack,wine,02.1.2.1,02.1.2.1,True,True
coolee ice tea peach 1ltr,soft drinks,01.2.3.0,01.2.6.0,True,False
delicata classic collection landini vermentino,wine,02.1.2.1,,True,False
lurpak spread salted promo,spreads,01.1.5.2,01.1.6.3,False,False
sainsbury's house dry white 2.25ltr,drinks | wine | white wine,02.1.2.1,,True,False
kean fruit cocktail juice,juices,01.2.1.0,01.2.1.0,True,True
preparato per te verde al limone 1kg ristora,thè,01.2.3.0,01.2.3.0,True,True
bolero instant drink red orange,beverages | juices & ice-teas,01.2.9.0,01.2.4.0,False,False
napolina cannelini beans 400g,tins cans & packets,01.1.7.9,01.1.1.1,True,False
stella artois 25cl bottle,beverages | beer & cider,02.1.3.0,,True,False
tropicana apple,juices,01.2.1.0,01.2.1.0,True,True
rum 3 anos,"vini, birra e liquori | liquori",02.1.1.0,02.1.1.0,True,True
bebo cooking baking spread,spreads,01.1.5.3,05.6.1.9,False,False
alamos chardonnay mendoza argentina 750 ml,wine,02.1.2.1,02.1.2.1,True,True
alexis lichine carbernet sauvignon,wine,02.1.2.1,,True,False
bjorg bio oat chocolate muesli,organic products,01.1.1.4,,True,False
"bio tisana curcuma rooibos 41,4g numi",infusi,01.2.3.0,01.1.8.3,True,False
santa cristina pinot grigio  750ml,wine,02.1.2.1,,True,False
bevanda riso drink bio,"latticini | latte, uova e burro",01.1.4.4,01.1.4.4,True,True
pepsi max zero 6x1.5ltr,soft drinks,01.2.6.0,,True,False
nocciolino,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,,True,False
knorr soup zuppa 5 cereali 109 grms,tins cans & packets,01.1.9.1,,True,False
espresso roast intensity 11,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
cielo soave,wine,02.1.2.1,02.1.2.1,True,True
marnisi red 75cl,wine cellar | wine  ,02.1.2.1,02.1.2.1,True,True
moo free premium original rice milk bar,organic products,01.1.4.4,01.1.4.4,True,True
carrefour herbal tea regulates 40g,tea,01.2.3.0,01.2.3.0,True,True
il rocchin gavi di gavi,wine,02.1.2.1,,True,False
milsani laktosefreier joghurt 500 g,milchprodukte,01.1.4.6,01.1.4.7,False,False
monini il decantato olio extra vergine di oliva 750 ml,olio e conserve | olio,01.1.5.1,01.1.5.1,True,True
carrefour sciroppo di latte di mandorla 500 ml,soft drinks,01.1.4.7,01.1.4.7,True,True
caravaggio cab sauvignon 75cl,wine cellar | wine  ,02.1.2.1,02.1.2.1,True,True
john west honey & ginger tuna salad 220g,tins cans & packets,01.1.9.1,,True,False
kafer shiraz australia 750 ml,wine,02.1.2.1,02.1.2.1,True,True
hell energy drink coffee latte 250ml,drinks | energy drinks | energy drinks,01.1.4.7,05.3.2.2,False,False
bonvita dark 71% cranberry chocolate,organic products,01.1.8.5,,True,False
bevanda riso e cocco,"latticini | latte, uova e burro",01.1.4.4,01.1.4.4,True,True
dr pepper zero,soft drinks,01.2.6.0,01.2.1.0,False,False
natrue oat barista drink 1ltr,"chilled and dairy | milk, butter & eggs",01.1.4.4,01.1.4.4,True,True
lavazza tierra peru 180gr,"food cupboard groceries | coffee | coffee beans, ground, instant & speciality coffee",01.2.2.0,05.4.0.3,True,False
3 leaves red maraschino cherries without stems 950 grms,tins cans & packets,01.1.6.9,01.1.6.1,False,False
innocent smoothie strawberry & banana,juices,01.2.1.0,01.1.6.1,True,False
8.6 8.6 birra red 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
rio mare tuna with lemon 3+1 80g,tins cans & packets,01.1.9.1,01.1.2.3,False,False
after shock blue 70cl,beverages | spirits,02.1.1.0,02.1.9.0,True,False
wodka,"vini, birra e liquori | liquori",02.1.1.0,02.1.2.1,True,False
3 leaves corned beef light 340 grms,tins cans & packets,01.1.2.5,01.1.2.2,True,False
nescafe dolce gusto cold brew coffee x12 116.4gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,,True,False
lavazza caffe crema e gusto ricco 500 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,True
mandi refosco isonzo del friuli doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,,True,False
viti&vini bonarda amabile frizzante 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,True
mj's balsamic vinegar 500ml,groceries | oil & vinegar,01.1.9.3,05.6.1.9,True,False
bankok pumpkin seeds 375 grms,tins cans & packets,01.1.9.4,01.1.7.2,True,False
carrefour bio spelled biscuit with chocolate drops,organic products,01.1.1.3,01.1.4.7,False,False
bagnoli l'ape aperitivo leggero,"acqua, bevande, alcolici | liquori",02.1.9.0,02.1.1.0,False,False
dolcetto d'alba doc,"vini, birra e liquori | vini",02.1.2.1,,True,False
bos ice tea can sparkling lemon 250ml,drinks | ice tea | ice tea,01.2.3.0,01.2.3.0,True,True
kusmi detox teabags  20pcs.,tea,01.2.3.0,,True,False
nestle aero hot chocolate  EUR2.99,hot drinks,01.2.4.0,,True,False
le cascine le cascine muller thurgau igt 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.1.0,True,False
gato negro shiraz 750ml,wine,02.1.2.1,02.1.2.1,True,True
black tower rose 75cl,drinks | wine | rose wine,02.1.2.1,02.1.2.1,True,True
barone di bernaj merlot  750ml,wine,02.1.2.1,02.1.2.1,True,True
carrefour bio mini corn cakes,organic products,01.1.1.4,,True,False
valfrutta i triangolini pesca succo e polpa 800 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
whiskey chivas regal invecchiato 12 anni 40deg 70cl,whisky cognac & brandy,02.1.1.0,01.1.7.1,True,False
blue nun riesling special product,wine,02.1.2.1,02.1.2.1,True,True
