Code,Description
07.1.4,Bridles for animal drawn vehicles
07.1.4,Reins for animal drawn vehicles
07.2.1,Spare parts and accessories for personal transport equipment
07.2.1,New tyres for personal transport equipment
07.2.1,Used tyres for personal transport equipment
07.2.1,Retreaded tyres for personal transport equipment
07.2.1,Inner tubes for personal transport equipment
07.2.1,Spark plugs for personal transport equipment
07.2.1,Batteries for personal transport equipment
07.2.1,Shock absorbers for personal transport equipment
07.2.1,Filters for personal transport equipment
07.2.1,Pumps for personal transport equipment
07.2.1,Fire extinguishers for transport equipment
07.2.1,Paints for cleaning and maintenance of transport equipment
07.2.1,Chrome cleaners for cleaning and maintenance of transport equipment
07.2.1,Sealing compounds for cleaning and maintenance of transport equipment
07.2.1,Bodywork polishes for cleaning and maintenance of transport equipment
07.2.1,Covers for motor cars
07.2.1,Covers for motorcycles
07.2.2,Fuels and lubricants for personal transport equipment
07.2.2,Petrol
07.2.2,Diesel
07.2.2,Liquid petroleum gas
07.2.2,Alcohol
07.2.2,Two-stroke mixtures
07.2.2,Lubricants
07.2.2,Brake fluids
07.2.2,Transmission fluids
07.2.2,Coolants
07.2.2,Additives
07.2.2,Fuel for major tools and equipment
07.2.2,Fuel for recreational vehicles
07.2.3,Maintenance and repair of personal transport equipment
07.2.3,Fitting of parts and accessories for personal transport equipment
07.2.3,Wheel balancing for personal transport equipment
07.2.3,Technical inspection of personal transport equipment
07.2.3,Breakdown services for personal transport equipment
07.2.3,Oil changes for personal transport equipment
07.2.3,Greasing of personal transport equipment
07.2.3,Washing of personal transport equipment
07.2.4,Other services in respect of personal transport equipment
07.2.4,Hire of garages
07.2.4,Hire of parking spaces not providing parking in connection with the dwelling
07.2.4,Toll facilities for bridges
07.2.4,Toll facilities for tunnels
07.2.4,Toll facilities for shuttle ferries
07.2.4,Toll facilities for motorways
07.2.4,Parking meters
07.2.4,Driving lessons
07.2.4,Driving tests
07.2.4,Driving licences
07.2.4,Roadworthiness tests
07.2.4,Hire of personal transport equipment without drivers
07.3.1,Passenger transport by railway
07.3.1,transport of individuals by train
07.3.1,transport of groups of persons by tram
07.3.1,transport of luggage by underground
07.3.1,transport of private vehicles by train
07.3.2,Passenger transport by road
07.3.2,Transport of individuals by bus
07.3.2,Transport of groups of persons by coach
07.3.2,Transport of individuals and luggage by taxi
07.3.2,Transport of individuals and luggage by hired car with driver
07.3.3,Passenger transport by air
07.3.3,Transport of individuals by aeroplane
07.3.3,Transport of groups of persons by helicopter
07.3.3,Transport of luggage by aeroplane
07.3.3,Transport of luggage by helicopter
07.3.4,Passenger transport by sea and inland waterway
07.3.4,Transport of individuals by ship
07.3.4,Transport of groups of persons by boat
07.3.4,Transport of luggage by ferry
07.3.4,Transport of individuals by hovercraft
07.3.4,Transport of groups of persons by hydrofoil
07.3.4,Transport of private vehicles by ship
07.3.4,Transport of private vehicles by boat
07.3.4,Transport of private vehicles by ferry
07.3.4,Transport of private vehicles by hovercraft
07.3.4,Transport of private vehicles by hydrofoil
07.3.5,Combined passenger transport
07.3.5,Transport of individuals by two or more modes of transport
07.3.5,Transport of groups of persons by two or more modes of transport
07.3.5,Transport of luggage by two or more modes of transport
07.3.5,Transport of private vehicles by two or more modes of transport
07.3.6,Other purchased transport services
07.3.6,Funicular transport services
07.3.6,Cable-car transport services
07.3.6,Chairlift transport services
07.3.6,Removal services
07.3.6,Storage services
07.3.6,Porter services
07.3.6,Left-luggage services
07.3.6,Luggage-forwarding services
07.3.6,Travel agents' commissions
08.1.0,Postal services
08.1.0,Payments for the delivery of letters
08.1.0,Payments for the delivery of postcards
08.1.0,Payments for the delivery of parcels
08.1.0,Private mail delivery
08.1.0,Private parcel delivery
08.1.0,Purchases of new postage stamps
08.1.0,ふPre-franked postcards
08.1.0,Aerogrammes
08.2.0,Telephone and telefax equipment
08.2.0,Purchases of telephones
08.2.0,Purchases of radio-telephones
08.2.0,Purchases of telefax machines
08.2.0,Purchases of telephone-answering machines
08.2.0,Purchases of telephone loudspeakers
08.2.0,Repair of telephones
08.2.0,Repair of radio-telephones
08.2.0,Repair of telefax machines
08.2.0,Repair of telephone-answering machines
08.2.0,Repair of telephone loudspeakers
08.3.0,Telephone and telefax services
08.3.0,Installation and subscription costs of personal telephone equipment
08.3.0,Telephone calls from a private line
08.3.0,Telephone calls from a public line
08.3.0,Telephone calls from hotels
08.3.0,Telephone calls from cafés
08.3.0,Telephone calls from restaurants
08.3.0,Telegraphy services
08.3.0,Telex services
08.3.0,Telefax services
08.3.0,Information transmission services
08.3.0,Internet connection services
08.3.0,Hire of telephones
08.3.0,Hire of telefax machines
08.3.0,Hire of telephone-answering machines
08.3.0,Hire of telephone loudspeakers
08.3.0,Radio-telephony services
08.3.0,Radio-telegraphy services
08.3.0,Radiotelex services
09.1.1,"Equipment for the reception, recording and reproduction of sound and pictures"
09.1.1,Television sets
09.1.1,Video cassette players and recorders
09.1.1,Television aerials of all types
09.1.1,Radio sets
09.1.1,Car radios
09.1.1,Radio clocks
09.1.1,Two-way radios
09.1.1,Amateur radio receivers and transmitters
09.1.1,Gramophones
09.1.1,Tape players and recorders
09.1.1,Cassette players and recorders
09.1.1,CD-players
09.1.1,Personal stereos
09.1.1,Stereo systems
09.1.1,Turntables
09.1.1,Tuners
09.1.1,Amplifiers
09.1.1,Speakers
09.1.1,Microphones
09.1.1,Earphones
09.1.2,Photographic and cinematographic equipment and optical instruments
09.1.2,Still cameras
09.1.2,Movie cameras
09.1.2,Sound-recording cameras
09.1.2,Video cameras
09.1.2,Camcorders
09.1.2,Film projectors
09.1.2,Slide projectors
09.1.2,Enlargers
09.1.2,Film processing equipment
09.1.2,Screens
09.1.2,Viewers
09.1.2,Lenses
09.1.2,Flash attachments
09.1.2,Filters
09.1.2,Exposure meters
09.1.2,Binoculars
09.1.2,Microscopes
09.1.2,Telescopes
09.1.2,Compasses
09.1.3,Information processing equipment
09.1.3,Personal computers
09.1.3,Visual display units
09.1.3,Printers
09.1.3,"Miscellaneous accessories accompanying personal computers, visual display units, and printers"
09.1.3,Computer software packages
09.1.3,Operating systems
09.1.3,Applications
09.1.3,Programming languages
09.1.3,Calculators
09.1.3,Pocket calculators
09.1.3,Typewriters
09.1.3,Word processors
09.1.3,Telefax facilities provided by personal computers
09.1.3,Telephone-answering facilities provided by personal computers
09.1.4,Recording media
09.1.4,Records
09.1.4,Compact discs
09.1.4,Pre-recorded tapes
09.1.4,Cassettes
09.1.4,Video cassettes
09.1.4,Diskettes
09.1.4,CD-ROMs
09.1.4,Unrecorded tapes
09.1.4,Unrecorded cassettes
09.1.4,Unrecorded video cassettes
09.1.4,Unrecorded diskettes
09.1.4,Unrecorded CD-ROMs
09.1.4,Unexposed films
09.1.4,Cartridges for photographic use
09.1.4,Disks for cinematographic use
09.1.4,Pre-recorded tapes of novels
09.1.4,Pre-recorded tapes of plays
09.1.4,Pre-recorded tapes of poetry
09.1.4,Pre-recorded compact discs of novels
09.1.4,Pre-recorded compact discs of plays
09.1.4,Pre-recorded compact discs of poetry
09.1.4,Pre-recorded diskettes containing books
09.1.4,Pre-recorded diskettes containing dictionaries
09.1.4,Pre-recorded diskettes containing encyclopaedias
09.1.4,Pre-recorded diskettes containing foreign language trainers
09.1.4,Pre-recorded diskettes containing multimedia presentations
09.1.4,Pre-recorded CD-ROMs containing books
09.1.4,Pre-recorded CD-ROMs containing dictionaries
09.1.4,Pre-recorded CD-ROMs containing encyclopaedias
09.1.4,Pre-recorded CD-ROMs containing foreign language trainers
09.1.4,Pre-recorded CD-ROMs containing multimedia presentations
09.1.4,Photographic paper
09.1.4,Flashbulbs
09.1.4,Unexposed film with processing cost included
09.1.5,"Repair of audio-visual, photographic and information processing equipment"
09.1.5,Repair of audio-visual equipment
09.1.5,Repair of photographic equipment
09.1.5,Repair of information processing equipment
09.1.5,Labour cost for repair of audio-visual equipment
09.1.5,Material cost for repair of photographic equipment
09.1.5,Total value of repair service for information processing equipment
09.2.1,Major durables for outdoor recreation
09.2.1,Camper vans
09.2.1,Caravans
09.2.1,Trailers
09.2.1,Aeroplanes
09.2.1,Microlight aircraft
09.2.1,Gliders
09.2.1,Hang-gliders
09.2.1,Hot-air balloons
09.2.1,Boats
09.2.1,Outboard motors
09.2.1,Sails
09.2.1,Rigging
09.2.1,Superstructures
09.2.1,Horses
09.2.1,Ponies
09.2.1,Horse or pony-drawn vehicles
09.2.1,Harnesses
09.2.1,Bridles
09.2.1,Reins
09.2.1,Saddles
09.2.1,Canoes
09.2.1,Kayaks
09.2.1,Windsurfing boards
09.2.1,Sea-diving equipment
09.2.1,Golf carts
09.2.2,Musical instruments and major durables for indoor recreation
09.2.2,pianos
09.2.2,organs
09.2.2,violins
09.2.2,guitars
09.2.2,drums
09.2.2,trumpets
09.2.2,clarins
09.2.2,flutes
09.2.2,recorders
09.2.2,harmonicas
09.2.2,billiard tables
09.2.2,ping-pong tables
09.2.2,pinball machines
09.2.2,gaming machines
09.2.3,Maintenance and repair of other major durables for recreation and culture
09.2.3,Maintenance and repair of boats
09.2.3,Maintenance and repair of camper vans
09.2.3,Maintenance and repair of caravans
09.2.3,Laying up for winter of boats
09.2.3,Laying up for winter of camper vans
09.2.3,Laying up for winter of caravans
09.2.3,Hangar services for private planes
09.2.3,Marina services for boats
09.2.3,Veterinary services for horses and ponies
09.2.3,Stabling services for horses and ponies
09.2.3,Feeding services for horses and ponies
09.2.3,Farriery services for horses and ponies
09.3.1,"Games, toys and hobbies"
09.3.1,Card games
09.3.1,Parlour games
09.3.1,Chess sets
09.3.1,Dolls
09.3.1,Soft toys
09.3.1,Toy cars
09.3.1,Toy trains
09.3.1,Toy bicycles
09.3.1,Toy tricycles
09.3.1,Toy construction sets
09.3.1,Puzzles
09.3.1,Plasticine
09.3.1,Electronic games
09.3.1,Masks
09.3.1,Disguises
09.3.1,Jokes
09.3.1,Novelties
09.3.1,Fireworks
09.3.1,Rockets
09.3.1,Festoons
09.3.1,Christmas tree decorations
09.3.1,Stamp albums
09.3.1,Postage stamps
09.3.1,Coin collections
09.3.1,Medal collections
09.3.1,Mineral collections
09.3.1,Zoological specimens
09.3.1,Botanical specimens
09.3.1,Video-game software
09.3.1,Video-game computers
09.3.1,Video-game cassettes
09.3.1,Video-game CD-ROMs
09.3.2,"Equipment for sport, camping and open-air recreation"
09.3.2,Gymnastic equipment
09.3.2,Physical education equipment
09.3.2,"Sport equipment such as balls, shuttlecocks, nets, rackets, bats, skis, golf clubs, foils, sabres, poles, weights, discuses, javelins, dumb-bells, chest expanders"
09.3.2,Parachutes and sky-diving equipment
09.3.2,"Firearms and ammunition for hunting, sport and personal protection"
09.3.2,Fishing rods and fishing equipment
09.3.2,"Beach and open-air game equipment such as bowls, croquet, frisbee, volleyball"
09.3.2,"Inflatable boats, rafts and swimming pools"
09.3.2,"Camping equipment such as tents, sleeping bags, backpacks, air mattresses, inflating pumps, camping stoves, barbecues"
09.3.2,"Game-specific footwear like ski boots, football boots, golfing shoes"
09.3.2,Protective headgear for sports
09.3.2,"Protective gear for sports such as life jackets, boxing gloves, body padding, shin-guards, goggles, belts, supports"
09.3.3,"Gardens, plants and flowers"
09.3.3,Natural flowers
09.3.3,Artificial flowers
09.3.3,Foliage
09.3.3,Plants
09.3.3,Shrubs
09.3.3,Bulbs
09.3.3,Tubers
09.3.3,Seeds
09.3.3,Fertilizers
09.3.3,Composts
09.3.3,Garden peat
09.3.3,Turf for lawns
09.3.3,Specially treated soils for ornamental gardens
09.3.3,Horticultural preparations
09.3.3,Pots
09.3.3,Pot holders
09.3.3,Natural Christmas trees
09.3.3,Artificial Christmas trees
09.3.3,Delivery charges for flowers and plants
09.3.4,Pets and related products
09.3.4,Pets
09.3.4,Pet foods
09.3.4,Veterinary products for pets
09.3.4,Grooming products for pets
09.3.4,Collars
09.3.4,Leashes
09.3.4,Kennels
09.3.4,Birdcages
09.3.4,Fish tanks
09.3.4,Cat litter
09.3.5,Veterinary and other services for pets
09.3.5,Veterinary services for pets
09.3.5,Grooming services for pets
09.3.5,Boarding services for pets
09.3.5,Tattooing services for pets
09.3.5,Training services for pets
09.4.1,Recreational and sporting services
09.4.1,services provided by sports stadiums
09.4.1,services provided by horse-racing courses
09.4.1,services provided by motor-racing circuits
09.4.1,services provided by velodromes
09.4.1,services provided by skating rinks
09.4.1,services provided by swimming pools
09.4.1,services provided by golf courses
09.4.1,services provided by gymnasia
09.4.1,services provided by fitness centres
09.4.1,services provided by tennis courts
09.4.1,services provided by squash courts
09.4.1,services provided by bowling alleys
09.4.1,services provided by fairgrounds
09.4.1,servicesangle parks
09.4.1,services provided by roundabouts
09.4.1,services provided by see-saws
09.4.1,services provided by other playground facilities for children
09.4.1,services provided by pin-ball machines
09.4.1,services provided by other games for adults other than games of chance
09.4.1,services provided by ski slopes
09.4.1,services provided by ski lifts
09.4.1,hire of equipment and accessories for sport and recreation
09.4.1,hire of aeroplanes
09.4.1,hire of boats
09.4.1,hire of horses
09.4.1,hire of skiing equipment
09.4.1,hire of camping equipment
09.4.1,out-of-school individual or group lessons in bridge
09.4.1,out-of-school individual or group lessons in chess
09.4.1,out-of-school individual or group lessons in aerobics
09.4.1,out-of-school individual or group lessons in dancing
09.4.1,out-of-school individual or group lessons in music
09.4.1,out-of-school individual or group lessons in skating
09.4.1,out-of-school individual or group lessons in skiing
09.4.1,out-of-school individual or group lessons in swimming
09.4.1,out-of-school individual or group lessons in other pastimes
09.4.1,services of mountain guides
09.4.1,services of tour guides
09.4.1,navigational aid services for boating
09.4.1,hire of game-specific footwear
09.4.1,hire of ski boots
09.4.1,hire of football boots
09.4.1,hire of golfing shoes
09.4.1,hire of footwear fitted with ice-skates
09.4.1,hire of footwear fitted with rollers
09.4.1,hire of footwear fitted with spikes
09.4.1,hire of footwear fitted with studs
09.4.2,Cultural services
09.4.2,cinemas
09.4.2,theatres
09.4.2,opera houses
09.4.2,concert halls
09.4.2,music halls
09.4.2,circuses
09.4.2,sound and light shows
09.4.2,museums
09.4.2,libraries
09.4.2,art galleries
09.4.2,exhibitions
09.4.2,historic monuments
09.4.2,national parks
09.4.2,zoological and botanical gardens
09.4.2,aquaria
09.4.2,hire of equipment and accessories for culture
09.4.2,television and radio broadcasting
09.4.2,services of photographers
09.4.2,services of musicians
09.4.2,clowns
09.4.2,performers for private entertainments
09.4.3,Games of chance
09.4.3,Service charges for lotteries
09.4.3,Service charges for bookmakers
09.4.3,Service charges for totalizators
09.4.3,Service charges for casinos
09.4.3,Service charges for gaming machines
09.4.3,Service charges for bingo halls
09.4.3,Service charges for scratch cards
09.4.3,Service charges for sweepstakes
09.5.1,Books
09.5.1,atlases
09.5.1,dictionaries
09.5.1,encyclopaedias
09.5.1,textbooks
09.5.1,guidebooks
09.5.1,musical scores
09.5.1,scrapbooks for children
09.5.1,albums for children
09.5.1,bookbinding
09.5.2,Newspapers and periodicals
09.5.2,Newspapers
09.5.2,Magazines
09.5.2,Periodicals
09.5.3,Miscellaneous printed matter
09.5.3,Catalogues
09.5.3,Advertising material
09.5.3,Posters
09.5.3,Plain postcards
09.5.3,Picture postcards
09.5.3,Calendars
09.5.3,Greeting cards
09.5.3,Visiting cards
09.5.3,Announcement cards
09.5.3,Message cards
09.5.3,Maps
09.5.3,Globes
09.5.4,Stationery and drawing materials
09.5.4,Writing pads
09.5.4,Envelopes
09.5.4,Account books
09.5.4,Notebooks
09.5.4,Diaries
09.5.4,Pens
09.5.4,Pencils
09.5.4,Fountain pens
09.5.4,Ballpoint pens
09.5.4,Felt-tip pens
09.5.4,Inks
09.5.4,Erasers
09.5.4,Pencil sharpeners
09.5.4,Stencils
09.5.4,Carbon paper
09.5.4,Typewriter ribbons
09.5.4,Inking pads
09.5.4,Correcting fluids
09.5.4,Paper punches
09.5.4,Paper cutters
09.5.4,Paper scissors
09.5.4,Office glues and adhesives
09.5.4,Staplers and staples
09.5.4,Paper clips
09.5.4,Drawing pins
09.5.4,Canvas
09.5.4,Paper
09.5.4,Card
09.5.4,Paints
09.5.4,Crayons
09.5.4,Pastels
09.5.4,Brushes
09.5.4,Toner and ink cartridges
09.5.4,Exercise books
09.5.4,Slide rules
09.5.4,Geometry instruments
09.5.4,Slates
09.5.4,Chalks
09.5.4,Pencil boxes
09.6.0,Package holidays
09.6.0,All inclusive holidays
09.6.0,"Tours with travel, food, and accommodation"
09.6.0,Half-day excursion tours
09.6.0,One-day excursion tours
09.6.0,Pilgrimages with guided tours
10.1.0,Pre-primary and primary education
10.1.0,Pre-primary education
10.1.0,Primary education
10.1.0,Literacy programmes for students too old for primary school
10.2.0,Secondary education
10.2.0,Lower-secondary education as defined in levels 2 of ISCED-97
10.2.0,Upper-secondary education as defined in levels 3 of ISCED-97
10.2.0,Out-of-school secondary education for adults
10.2.0,Out-of-school secondary education for young people
10.3.0,Post-secondary non-tertiary education
10.3.0,post-secondary non-tertiary education
10.3.0,out-of-school post-secondary non-tertiary education for adults
10.3.0,out-of-school post-secondary non-tertiary education for young people
10.4.0,Tertiary education
10.4.0,First stage of tertiary education at Level 5 of ISCED-97
10.4.0,Second stage of tertiary education at Level 6 of ISCED-97
10.5.0,Education not definable by level
10.5.0,Vocational training for adults
10.5.0,Cultural development programmes for adults
10.5.0,Adult education programmes not requiring special prior instruction
10.5.0,Non-vocational adult training
10.5.0,Lifelong learning programmes
11.1.1,"Restaurants, caf�s and the like"
11.1.1,Catering services provided by restaurants
11.1.1,"Meals, snacks, drinks and refreshments provided by cafés, buffets, bars, tearooms"
11.1.1,"Food and beverages provided in theatres, cinemas, sports stadiums, swimming pools, sports complexes, museums, art galleries, nightclubs, dancing establishments"
11.1.1,"Catering services on public transport such as coaches, trains, boats, aeroplanes"
11.1.1,"Sale of food products and beverages by kiosks, street vendors, and automatic vending machines"
11.1.1,Sale of cooked dishes by restaurants for consumption off their premises
11.1.1,Sale of cooked dishes by catering contractors for delivery or collection
11.1.1,Tips provided to catering service providers
11.1.2,Canteens
11.1.2,canteens in works
11.1.2,office canteens
11.1.2,canteens in schools
11.1.2,canteens in universities
11.1.2,other educational establishments canteens
11.1.2,university refectories
11.1.2,military messes
11.1.2,wardrooms
11.2.0,Accommodation services
11.2.0,hotels
11.2.0,boarding houses
11.2.0,motels
11.2.0,inns
11.2.0,bed and breakfast establishments
11.2.0,holiday villages
11.2.0,holiday centres
11.2.0,camping sites
11.2.0,caravan sites
11.2.0,youth hostels
11.2.0,mountain chalets
11.2.0,boarding schools
11.2.0,universities
11.2.0,educational establishments
11.2.0,public transport accommodation
11.2.0,hostels for young workers
11.2.0,hostels for immigrants
11.2.0,tips for accommodation services
11.2.0,porters for accommodation services
12.1.1,Hairdressing salons and personal grooming establishments
12.1.1,Services of hairdressing salons
12.1.1,Services of barbers
12.1.1,Services of beauty shops
12.1.1,Manicures
12.1.1,Pedicures
12.1.1,Turkish baths
12.1.1,Saunas
12.1.1,Solariums
12.1.1,Non-medical massages
12.1.1,Bodycare
12.1.1,Depilation
12.1.2,Electric appliances for personal care
12.1.2,Electric razors
12.1.2,Hair trimmers
12.1.2,Hand-held hairdryers
12.1.2,Hood hairdryers
12.1.2,Curling tongs
12.1.2,Styling combs
12.1.2,Sunlamps
12.1.2,Vibrators
12.1.2,Electric toothbrushes
12.1.2,Other electric appliances for dental hygiene
12.1.2,Repair of electric razors
12.1.2,Repair of hair trimmers
12.1.2,Repair of hand-held hairdryers
12.1.2,Repair of hood hairdryers
12.1.2,Repair of curling tongs
12.1.2,Repair of styling combs
12.1.2,Repair of sunlamps
12.1.2,Repair of vibrators
12.1.2,Repair of electric toothbrushes
12.1.2,Repair of other electric appliances for dental hygiene
12.1.3,"Other appliances, articles and products for personal care"
12.1.3,Razors for personal care
12.1.3,Hair trimmers and blades for personal care
12.1.3,Scissors for personal care
12.1.3,Nail files for personal care
12.1.3,Combs for personal care
12.1.3,Shaving brushes for personal care
12.1.3,Hairbrushes for personal care
12.1.3,Toothbrushes for personal care
12.1.3,Nail brushes for personal care
12.1.3,Hairpins for personal care
12.1.3,Curlers for personal care
12.1.3,Personal weighing machines for personal care
12.1.3,Baby scales for personal care
12.1.3,Toilet soap for personal hygiene
12.1.3,Medicinal soap for personal hygiene
12.1.3,Cleansing oil and milk for personal hygiene
12.1.3,Shaving soap for personal hygiene
12.1.3,Shaving cream and foam for personal hygiene
12.1.3,Toothpaste for personal hygiene
12.1.3,Lipstick for beauty care
12.1.3,Nail varnish for beauty care
12.1.3,Make-up and make-up removal products for beauty care
12.1.3,Hair lacquers and lotions for beauty care
12.1.3,Pre-shave and after-shave products for beauty care
12.1.3,Sunbathing products for beauty care
12.1.3,Hair removers for beauty care
12.1.3,Perfumes and toilet waters for beauty care
12.1.3,Personal deodorants for beauty care
12.1.3,Bath products for beauty care
12.1.3,Toilet paper for personal care
12.1.3,Paper handkerchiefs for personal care
12.1.3,Paper towels for personal care
12.1.3,Sanitary towels for personal care
12.1.3,Cotton wool for personal care
12.1.3,Cotton tops for personal care
12.1.3,Babies' napkins for personal care
12.1.3,Toilet sponges for personal care
12.2.0,Prostitution
12.2.0,Services provided by prostitutes
12.2.0,Services provided by erotic masseuses
12.2.0,Services provided by escorts
12.2.0,Services provided by adult entertainers
12.3.1,"Jewellery, clocks and watches"
12.3.1,Precious stones and metals
12.3.1,Jewellery fashioned out of precious stones and metals
12.3.1,Costume jewellery
12.3.1,Cuff links
12.3.1,Tiepins
12.3.1,Clocks
12.3.1,Watches
12.3.1,Stopwatches
12.3.1,Alarm clocks
12.3.1,Travel clocks
12.3.1,"Repair of jewellery, clocks and watches"
12.3.2,Other personal effects
12.3.2,suitcases
12.3.2,trunks
12.3.2,travel bags
12.3.2,attaché cases
12.3.2,satchels
12.3.2,hand-bags
12.3.2,wallets
12.3.2,purses
12.3.2,baby carriages
12.3.2,pushchairs
12.3.2,carrycots
12.3.2,recliners
12.3.2,car beds and seats
12.3.2,back-carriers
12.3.2,front carriers
12.3.2,reins and harnesses
12.3.2,pipes
12.3.2,lighters
12.3.2,cigarette cases
12.3.2,cigar cutters
12.3.2,ashtrays
12.3.2,sunglasses
12.3.2,walking sticks and canes
12.3.2,umbrellas and parasols
12.3.2,fans
12.3.2,keyrings
12.3.2,coffins
12.3.2,gravestones
12.3.2,urns
12.3.2,lighter fuel
12.3.2,wall thermometers
12.3.2,barometers
12.4.0,Social protection
12.4.0,Retirement homes for elderly persons
12.4.0,Residences for disabled persons
12.4.0,Rehabilitation centres providing long-term support for patients
12.4.0,Schools for disabled persons where the main aim is to help students overcome their disability
12.4.0,Home-cleaning services for elderly and disabled persons
12.4.0,Meal programmes for elderly and disabled persons
12.4.0,Day-care centres for elderly and disabled persons
12.4.0,Day-care services for elderly and disabled persons
12.4.0,Holiday-care services for elderly and disabled persons
12.4.0,Wet-nurses
12.4.0,Crèches
12.4.0,Play schools
12.4.0,Child-minding facilities
12.4.0,Counselling services for families
12.4.0,Guidance services for families
12.4.0,Arbitration services for families
12.4.0,Fostering services for families
12.4.0,Adoption services for families
12.5.1,Life insurance
12.5.1,Life insurance service charges
12.5.1,Life assurance service charges
12.5.1,Death benefit assurance service charges
12.5.1,Education assurance service charges
12.5.2,Insurance connected with the dwelling
12.5.2,Insurance against fire for owner-occupiers
12.5.2,Insurance against theft for tenants
12.5.2,Service charges for water damage insurance paid by owner-occupiers
12.5.2,Service charges for fire insurance paid by tenants
12.5.3,Insurance connected with health
12.5.3,Private sickness insurance service charges
12.5.3,Private accident insurance service charges
12.5.3,Health insurance service charges for private coverage
12.5.4,Insurance connected with transport
12.5.4,Insurance for personal transport equipment
12.5.4,Travel insurance
12.5.4,Luggage insurance
12.5.5,Other insurance
12.5.5,Service charges for civil liability insurance for injury to third parties
12.5.5,Service charges for civil liability insurance for damage to third parties' property
12.5.5,Service charges for other insurance related to third party liability
12.6.1,FISIM
12.6.1,"Financial intermediation services indirectly measured, such as banking services, investment services, and insurance services"
12.6.2,Other financial services n.e.c.
12.6.2,Actual charges for the financial services of banks
12.6.2,Fees and service charges of brokers
12.6.2,Fees and service charges of investment counsellors
12.6.2,Fees and service charges of tax consultants
12.6.2,Administrative charges of private pension funds
12.7.0,Other services n.e.c.
12.7.0,Fees for legal services
12.7.0,Charges for undertaking and funeral services
12.7.0,Payment for estate agents and housing agents services
12.7.0,Payment for auctioneers and salesroom operators services
12.7.0,Payment for photocopies and reproductions of documents
12.7.0,"Fees for birth, marriage and death certificates"
12.7.0,Payment for newspaper notices and advertisements
12.7.0,Fees for graphologists services
12.7.0,Fees for astrologers services
12.7.0,Payment for private detectives services
12.7.0,Payment for bodyguards services
12.7.0,Fees for matrimonial agencies services
12.7.0,Fees for marriage guidance counsellors services
12.7.0,Payment for public writers services
12.7.0,"Payment for miscellaneous concessions such as seats, toilets, and cloakrooms"
13.1.0,Housing
13.1.0,Housing as specified in COPNI 01.0.0
13.1.0,Housing corresponding to COPNI 04.1.1
13.1.0,Housing corresponding to COPNI 14.1.0
13.2.1,Pharmaceutical products
13.2.1,Pharmaceutical products as specified in COPNI 02.1.1
13.2.1,Products corresponding to COPNI 06.1.1
13.2.1,Products corresponding to COPNI 14.2.1
13.2.2,Other medical products
13.2.2,Medical products as specified in COPNI 02.1.2
13.2.2,Products corresponding to COPNI (06.1.2)
13.2.2,Products corresponding to COPNI (14.2.2)
13.2.3,Therapeutic appliances and equipment
13.2.3,Therapeutic appliances
13.2.3,Therapeutic equipment
13.2.3,Appliances for therapeutic use as specified in COPNI 02.1.3
13.2.3,Equipment for therapeutic use as specified in COPNI 02.1.3
13.2.3,Therapeutic appliances corresponding to COPNI 06.1.3
13.2.3,Therapeutic equipment corresponding to COPNI 06.1.3
13.2.3,Therapeutic appliances corresponding to COPNI 14.2.3
13.2.3,Therapeutic equipment corresponding to COPNI 14.2.3
13.2.4,Outpatient medical services
13.2.4,Outpatient medical services as specified in COPNI 02.2.1
13.2.4,Outpatient medical services corresponding to COPNI 06.2.1
13.2.4,Outpatient medical services corresponding to COPNI 14.2.4
13.2.5,Outpatient dental services
13.2.5,Outpatient dental services as specified in COPNI 02.2.2
13.2.5,Outpatient dental services corresponding to COICOP 06.2.2
13.2.5,Outpatient dental services corresponding to COICOP 14.2.5
13.2.6,Outpatient paramedical services
13.2.6,Outpatient paramedical services as specified in COPNI 02.2.3
13.2.6,Services corresponding to COPNI 06.2.3
13.2.6,Services corresponding to COPNI 14.2.6
13.2.7,Hospital services
13.2.7,Hospital services as specified in COPNI 02.3.0
13.2.7,Services corresponding to COPNI 06.3.0
13.2.7,Services corresponding to COPNI 14.2.7
13.2.8,Other health services
13.2.8,Services as specified in COPNI 02.4.0
13.2.8,Services as specified in COPNI 02.5.0
13.2.8,Services as specified in COPNI 02.6.0
13.3.1,Recreational and sporting services
13.3.1,Recreational services as specified in COPNI 03.1.0
13.3.1,Sporting services as specified in COPNI 03.1.0
13.3.1,Services corresponding to COPNI 09.4.1
13.3.1,Services corresponding to COPNI 14.3.1
13.3.2,Cultural services
13.3.2,Cultural services as specified in COPNI 03.2.0
13.3.2,Services corresponding to COPNI 09.4.2
13.3.2,Services corresponding to COPNI 14.3.2
13.4.1,Pre-primary and primary education
13.4.1,Pre-primary education as specified in COPNI 04.1.0
13.4.1,Primary education as specified in COPNI 04.1.0
13.4.1,Education corresponding to COPNI (10.1.0)
13.4.1,Education corresponding to COPNI (14.4.1)
13.4.2,Secondary education
13.4.2,Secondary education as specified in COPNI 04.2.0
13.4.2,Education corresponding to COPNI classification (10.2.0)
13.4.2,Education corresponding to COPNI classification (14.4.2)
13.4.3,Post-secondary non-tertiary education
13.4.3,Post-secondary non-tertiary education as specified in COPNI 04.3.0
13.4.3,Education corresponding to COPNI codes (10.3.0) and (14.4.3)
13.4.4,Tertiary education
13.4.4,Education at university level as specified in COPNI 04.4.0
