code,title,description
11.1.2.9,"Other canteens, cafeterias and refectories","Food and beverages provided by canteens, cafeterias or refectories (i.e. restaurants, cafes, etc.) at work/office premises, to hospital in-patients, if separately invoiced. 
 * military messes and wardrooms"
11.2.0.1,"Hotels, motels, inns and similar accommodation services","* accommodation services in resorts, hotels and motels 
* accommodation services in inns, pensions and similar establishments 
* short-term accommodation services provided by private and holiday homes, guesthouses and boarding houses as secondary residence and other ""bed and breakfast"" units 
* timeshare units 
 * hotels letting rooms by the hour"
12.1.1.0,Life and accident insurance,"* service charges for life insurance, annuities, death benefit insurance, education insurance and so on 
 * service charges for funeral insurance 
* service charges for accident insurance"
12.2.2.0,Explicit charges by deposit-taking corporations,"* actual charges for the financial services of deposit-taking corporations, such as commercial banks, credit unions, cooperative banks, savings banks, post banks and postal savings banks"
13.1.1.1,Purchase of electric appliances for personal care,"* electric razors, hair trimmers and epilators, hand-held and hood hairdryers, straightening irons, curling tongs and styling combs, sunlamps, vibrators, electric toothbrushes and other electric appliances for dental hygiene and so on"
13.2.1.1,Purchase of jewellery and watches,"* precious stones and metals and jewellery fashioned out of such stones and metals 
* costume jewellery, cuff links and tiepins 
* watches and stopwatches"
13.2.2.0,Devotional articles and articles for religious and ritual celebrations,"* religious and ritual articles, such as crucifixes and rosaries, figurines, pictures, votive candles, amulets, strips of paper with prayers, menorah chandeliers, advent wreaths and others 
* articles to be used in religious and ritual celebrations"
13.2.9.1,"Travel goods, baby articles and other personal effects n.e.c.","* travel goods and other carriers of personal effects: suitcases, trunks, travel bags, attache cases, satchels, handbags, wallets, purses, backpacks for school and travel and so on 
* articles for babies: diapers (nappies) of any material, baby carriages, pushchairs/strollers, carrycots, recliners, back carriers, front carriers, harnesses for babies and so on 
* articles for smokers: pipes, lighters, cigarette cases, cigar cutters, ashtrays, electronic cigarette devices and so on 
* miscellaneous personal articles: non-corrective sunglasses, protective glasses, umbrellas and parasols, fans, key rings, pill organizers, ear plugs and so on 
* funerary articles: coffins, gravestones, urns, burial shrouds, and so on 
* lighter fuel; wall thermometers and barometers"
13.3.0.1,Childcare services,"* child-minding outside the home, including after-school centers, nurseries, day-care facilities, wet nurses, creches, kindergartens (other than educational), play schools and other child-minding facilities"
13.3.0.2,"Retirement homes for elderly persons and residences for disabled persons, not providing medical care","* non-medical retirement homes for elderly persons 
* non-medical residences for disabled or maladjusted persons"
13.3.0.9,Other social protection services,"* schools for disabled persons where the main aim is to help students to overcome their disability 
* guidance, arbitration, fostering and adoption services for families"
14.2.1.0,Pharmaceutical products,"The same function is covered under COPNI class 02.1.1. 
This subclass corresponds to COICOP classes 06.1.1 and 15.2.1."
14.2.2.0,Other medical products,"The same function is covered under COPNI class 02.1.2. 
This subclass corresponds to COICOP classes 06.1.2 and 15.2.2."
14.2.3.0,Therapeutic appliances and equipment,"The same function is covered under COPNI class 02.1.3. 
This subclass corresponds to COICOP classes 06.1.3 and 15.2.3."
14.2.4.0,Outpatient medical services,"The same function is covered under COPNI class 02.2.1. 
This subclass corresponds to COICOP classes 06.2.1, 06.2.3 and 15.2.4."
14.2.5.0,Outpatient dental services,"The same function is covered under COPNI class 02.2.2. 
This subclass corresponds to COICOP classes 06.2.2 and 15.2.5."
14.3.1.0,Recreational and sporting services,"The same function is covered under COPNI class 03.1.0. 
This subclass corresponds to COICOP group 09.4 and class 15.3.1."
14.3.2.0,Cultural services,"The same function is covered under COPNI class 03.2.0. 
This subclass corresponds to COICOP group 09.6 and class 15.3.2."
14.4.1.0,Pre-primary and primary education,"The same function is covered under COPNI class 04.1.0. 
This subclass corresponds to COICOP classes 10.1.0 and 15.4.1."
14.4.3.0,Post-secondary non-tertiary education,"The same function is covered under COPNI class 04.3.0. 
This subclass corresponds to COICOP classes 10.3.0 and 15.4.3."
14.4.4.0,Tertiary education,"The same function is covered under COPNI class 04.4.0. 
This subclass corresponds to COICOP classes 10.4.0 and 15.4.4."
14.4.5.0,Education not defined by level,"The same function is covered under COPNI class 04.5.0. 
This subclass corresponds to COICOP classes 10.5.0 and 15.4.5."
14.4.6.0,Other educational services,The same function is covered under COPNI classes 04.6.0 and 04.7.0.
14.5.0.0,Social protection,"The same function is covered under COPNI classes 05.1.0 and 05.2.0. 
This subclass corresponds to COICOP classes 13.3.0 and 15.5.0."
14.6.1.0,Religion,"The same function is covered under COPNI class 06.0.0. 
This subclass corresponds to COICOP subclass 13.9.0.2."
14.6.3.0,Environmental protection,The same function is covered under COPNI classes 08.1.0 and 08.2.0.
14.6.4.0,Services n.e.c.,The same function is covered under COPNI classes 09.1.0 and 09.2.0.
15.1.0.0,Housing,"The same function is covered under COFOG class 10.6.0.  
This subclass corresponds to COICOP classes 04.1.1 and 14.1.0."
15.2.1.0,Pharmaceutical products,"The same function is covered under COFOG class 07.1.1.  
This subclass corresponds to COICOP classes 06.1.1 and 14.2.1."
15.2.2.0,Other medical products,"The same function is covered under COFOG class 07.1.2.  
This subclass corresponds to COICOP classes 06.1.2 and 14.2.2."
15.2.3.0,Therapeutic appliances and equipment,"The same function is covered under COFOG class 07.1.3.  
This subclass corresponds to COICOP classes 06.1.3 and 14.2.3."
15.2.4.0,Outpatient medical services,"The same function is covered under COFOG classes 07.2.1 and 07.2.2.  
This subclass corresponds to COICOP classes 06.2.1, 06.2.3 and 14.2.4."
15.2.5.0,Outpatient dental services,"The same function is covered under COFOG class 07.2.3.  
This subclass corresponds to COICOP classes 06.2.2 and 14.2.5."
15.2.6.0,Outpatient paramedical services,"The same function is covered under COFOG class 07.2.4.  
This subclass corresponds to COICOP classes 06.1.4, 06.2.1, 06.2.3, 06.4 and 14.2.6."
15.2.7.0,Hospital services,"The same function is covered under COFOG classes 07.3.1, 07.3.2, 07.3.3 and 07.3.4.  
This subclass corresponds to COICOP group 06.3 and class 14.2.7."
15.2.8.0,Public health services,The same function is covered under COFOG class 07.4.0.
15.3.2.0,Cultural services,"The same function is covered under COFOG class 08.2.0.  
This subclass corresponds to COICOP group 09.6 and class 14.3.2."
15.4.2.0,Secondary education,"The same function is covered under COFOG classes 09.2.1 and 09.2.2.  
This subclass corresponds to COICOP classes 10.2.0 and 14.4.2."
15.4.3.0,Post-secondary non-tertiary education,"The same function is covered under COFOG class 09.3.0.  
This subclass corresponds to COICOP classes 10.3.0 and 14.4.3."
15.4.4.0,Tertiary education,"The same function is covered under COFOG classes 09.4.1 and 09.4.2.  
This subclass corresponds to COICOP classes 10.4.0 and 14.4.4."
15.4.5.0,Education not defined by level,"The same function is covered under COFOG class 09.5.0.  
This subclass corresponds to COICOP classes 10.5.0 and 14.4.5."
15.4.6.0,Subsidiary services to education,The same function is covered under COFOG class 09.6.0.
15.5.0.0,Social protection,"The same function is covered under COFOG classes 10.1.1 to 10.5.0 and 10.7.0.  
This subclass corresponds to COICOP classes 13.3.0 and 14.5.0."
