Code,Description
07.3.6,Luggage-forwarding offices services
07.3.6,Travel agents' commissions when separately priced
08.1.0,Postal services
08.1.0,Payment for delivery of letters
08.1.0,Payment for delivery of postcards
08.1.0,Payment for delivery of parcels
08.1.0,Private mail delivery
08.1.0,Private parcel delivery
08.1.0,Purchase of new postage stamps
08.1.0,Purchase of pre-franked postcards
08.1.0,Purchase of aerogrammes
08.2.0,Telephone and telefax equipment
08.2.0,Purchases of telephones
08.2.0,Purchases of radio-telephones
08.2.0,Purchases of telefax machines
08.2.0,Purchases of telephone-answering machines
08.2.0,Purchases of telephone loudspeakers
08.2.0,Repair of telephones
08.2.0,Repair of radio-telephones
08.2.0,Repair of telefax machines
08.2.0,Repair of telephone-answering machines
08.2.0,Repair of telephone loudspeakers
08.3.0,Telephone and telefax services
08.3.0,Installation costs of personal telephone equipment
08.3.0,Subscription costs of personal telephone equipment
08.3.0,Telephone calls from a private line
08.3.0,Telephone calls from a public telephone box
08.3.0,Telephone calls from a post office cabin
08.3.0,Telephone calls from hotels
08.3.0,Telephone calls from cafés
08.3.0,Telephone calls from restaurants
08.3.0,Telegraphy services
08.3.0,Telex services
08.3.0,Telefax services
08.3.0,Information transmission services
08.3.0,Internet connection services
08.3.0,Hire of telephones
08.3.0,Hire of telefax machines
08.3.0,Hire of telephone-answering machines
08.3.0,Hire of telephone loudspeakers
08.3.0,Radio-telephony services
08.3.0,Radio-telegraphy services
08.3.0,Radiotelex services
09.1.1,"Equipment for the reception, recording and reproduction of sound and pictures"
09.1.1,Television sets
09.1.1,Video cassette players
09.1.1,Video cassette recorders
09.1.1,Television aerials of all types
09.1.1,Radio sets
09.1.1,Car radios
09.1.1,Radio clocks
09.1.1,Two-way radios
09.1.1,Amateur radio receivers
09.1.1,Amateur radio transmitters
09.1.1,Gramophones
09.1.1,Tape players
09.1.1,Tape recorders
09.1.1,Cassette players
09.1.1,Cassette recorders
09.1.1,CD-players
09.1.1,Personal stereos
09.1.1,Stereo systems
09.1.1,Turntables
09.1.1,Tuners
09.1.1,Amplifiers
09.1.1,Speakers
09.1.1,Microphones
09.1.1,Earphones
09.1.2,Photographic and cinematographic equipment and optical instruments
09.1.2,Still cameras
09.1.2,Movie cameras
09.1.2,Sound-recording cameras
09.1.2,Video cameras
09.1.2,Camcorders
09.1.2,Film projectors
09.1.2,Slide projectors
09.1.2,Enlargers
09.1.2,Film processing equipment
09.1.2,Screens for photographic equipment
09.1.2,Viewers for photographic equipment
09.1.2,Lenses for photographic equipment
09.1.2,Flash attachments for photographic equipment
09.1.2,Filters for photographic equipment
09.1.2,Exposure meters for photographic equipment
09.1.2,Binoculars
09.1.2,Microscopes
09.1.2,Telescopes
09.1.2,Compasses
09.1.3,Information processing equipment
09.1.3,Personal computers
09.1.3,Visual display units
09.1.3,Printers
09.1.3,Computer accessories
09.1.3,Operating systems software
09.1.3,Application software
09.1.3,Programming language software
09.1.3,Calculators
09.1.3,Pocket calculators
09.1.3,Typewriters
09.1.3,Word processors
09.1.3,Telefax facilities provided by personal computers
09.1.3,Telephone-answering facilities provided by personal computers
09.1.4,Recording media
09.1.4,Pre-recorded novel tapes
09.1.4,Pre-recorded poetry tapes
09.1.4,Pre-recorded play tapes
09.1.4,Pre-recorded novel compact discs
09.1.4,Pre-recorded poetry compact discs
09.1.4,Pre-recorded play compact discs
09.1.4,Pre-recorded diskettes containing books in the form of software
09.1.4,Pre-recorded diskettes containing dictionaries in the form of software
09.1.4,Pre-recorded diskettes containing encyclopaedias in the form of software
09.1.4,Pre-recorded diskettes containing foreign language trainers in the form of software
09.1.4,Pre-recorded diskettes containing multimedia presentations in the form of software
09.1.4,Pre-recorded CD-ROMs containing books in the form of software
09.1.4,Pre-recorded CD-ROMs containing dictionaries in the form of software
09.1.4,Pre-recorded CD-ROMs containing encyclopaedias in the form of software
09.1.4,Pre-recorded CD-ROMs containing foreign language trainers in the form of software
09.1.4,Pre-recorded CD-ROMs containing multimedia presentations in the form of software
09.1.4,Photographic paper
09.1.4,Flashbulbs
09.1.4,Records
09.1.4,Compact discs
09.1.4,Pre-recorded tapes for tape recorders
09.1.4,Pre-recorded cassettes for cassette recorders
09.1.4,Pre-recorded video cassettes for video recorders
09.1.4,Pre-recorded diskettes for personal computers
09.1.4,Pre-recorded CD-ROMs for personal computers
09.1.4,Unrecorded tapes for tape recorders
09.1.4,Unrecorded cassettes for cassette recorders
09.1.4,Unrecorded video cassettes for video recorders
09.1.4,Unrecorded diskettes for personal computers
09.1.4,Unrecorded CD-ROMs for personal computers
09.1.4,Unexposed films for photographic use
09.1.4,Cartridges for photographic use
09.1.4,Disks for cinematographic use
09.1.4,Unexposed film with included processing cost
09.1.5,"Repair of audio-visual, photographic and information processing equipment"
09.1.5,Repair of audio equipment
09.1.5,Repair of visual equipment
09.1.5,Repair of photographic equipment
09.1.5,Repair of information processing equipment
09.2.1,Major durables for outdoor recreation
09.2.1,Camper vans
09.2.1,Caravans
09.2.1,Trailers
09.2.1,Aeroplanes
09.2.1,Microlight aircraft
09.2.1,Gliders
09.2.1,Hang-gliders
09.2.1,Hot-air balloons
09.2.1,Boats
09.2.1,Outboard motors
09.2.1,Sails
09.2.1,Rigging
09.2.1,Superstructures
09.2.1,Horses
09.2.1,Ponies
09.2.1,Horse-drawn vehicles
09.2.1,Pony-drawn vehicles
09.2.1,Harnesses
09.2.1,Bridles
09.2.1,Reins
09.2.1,Saddles
09.2.1,Canoes
09.2.1,Kayaks
09.2.1,Windsurfing boards
09.2.1,Sea-diving equipment
09.2.1,Golf carts
09.2.1,Fitting out of boats
09.2.1,Fitting out of camper vans
09.2.1,Fitting out of caravans
09.2.2,Musical instruments and major durables for indoor recreation
09.2.2,Musical instruments of all sizes
09.2.2,Electronic musical instruments
09.2.2,Pianos
09.2.2,Organs
09.2.2,Violins
09.2.2,Guitars
09.2.2,Drums
09.2.2,Trumpets
09.2.2,Clarinets
09.2.2,Flutes
09.2.2,Recorders
09.2.2,Harmonicas
09.2.2,Billiard tables
09.2.2,Ping-pong tables
09.2.2,Pinball machines
09.2.2,Gaming machines
09.2.3,Maintenance and repair of other major durables for recreation and culture
09.2.3,total value of the service including both the cost of labour and the cost of materials
09.2.3,laying up for winter of boats
09.2.3,laying up for winter of camper vans
09.2.3,laying up for winter of caravans
09.2.3,hangar services for private planes
09.2.3,marina services for boats
09.2.3,veterinary services for horses and ponies purchased for recreational purposes
09.2.3,stabling services for horses and ponies purchased for recreational purposes
09.2.3,feeding services for horses and ponies purchased for recreational purposes
09.2.3,farriery services for horses and ponies purchased for recreational purposes.
09.3.1,"Games, toys and hobbies"
09.3.1,Card games
09.3.1,Parlour games
09.3.1,Chess sets
09.3.1,Dolls
09.3.1,Soft toys
09.3.1,Toy cars
09.3.1,Toy trains
09.3.1,Toy bicycles
09.3.1,Toy tricycles
09.3.1,Toy construction sets
09.3.1,Puzzles
09.3.1,Plasticine
09.3.1,Electronic games
09.3.1,Masks
09.3.1,Disguises
09.3.1,Jokes
09.3.1,Novelties
09.3.1,Fireworks
09.3.1,Rockets
09.3.1,Festoons
09.3.1,Christmas tree decorations
09.3.1,Used postage stamps
09.3.1,Cancelled postage stamps
09.3.1,Stamp albums
09.3.1,Coins
09.3.1,Medals
09.3.1,Minerals
09.3.1,Zoological specimens
09.3.1,Botanical specimens
09.3.1,Video-game software
09.3.1,Video-game computers that plug into a television set
09.3.1,Video-game cassettes
09.3.1,Video-game CD-ROMs
09.3.2,"Equipment for sport, camping and open-air recreation"
09.3.2,Gymnastic equipment
09.3.2,Physical education equipment
09.3.2,Sport equipment such as balls
09.3.2,Sport equipment such as shuttlecocks
09.3.2,Sport equipment such as nets
09.3.2,Sport equipment such as rackets
09.3.2,Sport equipment such as bats
09.3.2,Sport equipment such as skis
09.3.2,Sport equipment such as golf clubs
09.3.2,Sport equipment such as foils
09.3.2,Sport equipment such as sabres
09.3.2,Sport equipment such as poles
09.3.2,Sport equipment such as weights
09.3.2,Sport equipment such as discuses
09.3.2,Sport equipment such as javelins
09.3.2,Sport equipment such as dumb-bells
09.3.2,Sport equipment such as chest expanders
09.3.2,Sport equipment such as body-building equipment
09.3.2,Parachutes
09.3.2,Sky-diving equipment
09.3.2,Firearms for hunting
09.3.2,Ammunition for hunting
09.3.2,Firearms for sport
09.3.2,Ammunition for sport
09.3.2,Firearms for personal protection
09.3.2,Ammunition for personal protection
09.3.2,Fishing rods
09.3.2,Equipment for fishing
09.3.2,Equipment for beach games such as bowls
09.3.2,Equipment for open-air games such as croquet
09.3.2,Equipment for open-air games such as frisbee
09.3.2,Equipment for open-air games such as volleyball
09.3.2,Inflatable boats
09.3.2,Inflatable rafts
09.3.2,Inflatable swimming pools
09.3.2,Camping equipment such as tents
09.3.2,Camping equipment such as tents accessories
09.3.2,Sleeping bags
09.3.2,Backpacks
09.3.2,Air mattresses
09.3.2,Inflating pumps
09.3.2,Camping stoves
09.3.2,Barbecues
09.3.2,Game-specific footwear such as ski boots
09.3.2,Game-specific footwear such as football boots
09.3.2,Game-specific footwear such as golfing shoes
09.3.2,Game-specific footwear fitted with ice-skates
09.3.2,Game-specific footwear fitted with rollers
09.3.2,Game-specific footwear fitted with spikes
09.3.2,Game-specific footwear fitted with studs
09.3.2,Protective headgear for sports
09.3.2,Protective gear for sports such as life jackets
09.3.2,Protective gear for sports such as boxing gloves
09.3.2,Protective gear for sports such as body padding
09.3.2,Protective gear for sports such as shin-guards
09.3.2,Protective gear for sports such as goggles
09.3.2,Protective gear for sports such as belts
09.3.2,Protective gear for sports such as supports
09.3.3,"Gardens, plants and flowers"
09.3.3,Natural flowers
09.3.3,Artificial flowers
09.3.3,Natural foliage
09.3.3,Artificial foliage
09.3.3,Plants
09.3.3,Shrubs
09.3.3,Bulbs
09.3.3,Tubers
09.3.3,Seeds
09.3.3,Fertilizers
09.3.3,Composts
09.3.3,Garden peat
09.3.3,Turf for lawns
09.3.3,Specially treated soils for ornamental gardens
09.3.3,Horticultural preparations
09.3.3,Pots for plants
09.3.3,Pot holders
09.3.3,Natural Christmas trees
09.3.3,Artificial Christmas trees
09.3.3,Delivery charges for flowers
09.3.3,Delivery charges for plants
09.3.4,Pets and related products
09.3.4,Pets
09.3.4,Pet foods
09.3.4,Veterinary products for pets
09.3.4,Grooming products for pets
09.3.4,Collars for pets
09.3.4,Leashes for pets
09.3.4,Kennels for pets
09.3.4,Birdcages
09.3.4,Fish tanks
09.3.4,Cat litter
09.3.5,Veterinary and other services for pets
09.3.5,Veterinary services for pets
09.3.5,Grooming services for pets
09.3.5,Boarding services for pets
09.3.5,Tattooing services for pets
09.3.5,Training services for pets
09.4.1,Recreational and sporting services
09.4.1,Services provided by sports stadiums
09.4.1,Services provided by horse-racing courses
09.4.1,Services provided by motor-racing circuits
09.4.1,Services provided by velodromes
09.4.1,Services provided by skating rinks
09.4.1,Services provided by swimming pools
09.4.1,Services provided by golf courses
09.4.1,Services provided by gymnasia
09.4.1,Services provided by fitness centres
09.4.1,Services provided by tennis courts
09.4.1,Services provided by squash courts
09.4.1,Services provided by bowling alleys
09.4.1,Services provided by fairgrounds
09.4.1,Services provided by amusement parks
09.4.1,Services provided by roundabouts
09.4.1,Services provided by see-saws
09.4.1,Services provided by children playground facilities
09.4.1,Services provided by pin-ball machines
09.4.1,Services provided by games for adults other than games of chance
09.4.1,Services provided by ski slopes
09.4.1,Services provided by ski lifts
09.4.1,"Hire of equipment and accessories for sport and recreation, such as aeroplanes"
09.4.1,"Hire of equipment and accessories for sport and recreation, such as boats"
09.4.1,"Hire of equipment and accessories for sport and recreation, such as horses"
09.4.1,"Hire of equipment and accessories for sport and recreation, such as skiing equipment"
09.4.1,"Hire of equipment and accessories for sport and recreation, such as camping equipment"
09.4.1,Out-of-school individual lessons in bridge
09.4.1,Out-of-school individual lessons in chess
09.4.1,Out-of-school individual lessons in aerobics
09.4.1,Out-of-school individual lessons in dancing
09.4.1,Out-of-school individual lessons in music
09.4.1,Out-of-school individual lessons in skating
09.4.1,Out-of-school individual lessons in skiing
09.4.1,Out-of-school individual lessons in swimming
09.4.1,Out-of-school individual lessons in other pastimes
09.4.1,Out-of-school group lessons in bridge
09.4.1,Out-of-school group lessons in chess
09.4.1,Out-of-school group lessons in aerobics
09.4.1,Out-of-school group lessons in dancing
09.4.1,Out-of-school group lessons in music
09.4.1,Out-of-school group lessons in skating
09.4.1,Out-of-school group lessons in skiing
09.4.1,Out-of-school group lessons in swimming
09.4.1,Out-of-school group lessons in other pastimes
09.4.1,Services of mountain guides
09.4.1,Services of tour guides
09.4.1,Navigational aid services for boating
09.4.1,Hire of game-specific footwear fitted with ski boots
09.4.1,Hire of game-specific footwear fitted with football boots
09.4.1,Hire of game-specific footwear fitted with golfing shoes
09.4.1,Hire of game-specific footwear fitted with ice-skates
09.4.1,Hire of game-specific footwear fitted with rollers
09.4.1,Hire of game-specific footwear fitted with spikes
09.4.1,Hire of game-specific footwear fitted with studs
09.4.2,Cultural services
09.4.2,Services provided by cinemas
09.4.2,Services provided by theatres
09.4.2,Services provided by opera houses
09.4.2,Services provided by concert halls
09.4.2,Services provided by music halls
09.4.2,Services provided by circuses
09.4.2,Services provided by sound and light shows
09.4.2,Services provided by museums
09.4.2,Services provided by libraries
09.4.2,Services provided by art galleries
09.4.2,Services provided by exhibitions
09.4.2,Services provided by historic monuments
09.4.2,Services provided by national parks
09.4.2,Services provided by zoological gardens
09.4.2,Services provided by botanical gardens
09.4.2,Services provided by aquaria
09.4.2,Hire of equipment for culture such as television sets
09.4.2,Hire of accessories for culture such as video cassettes
09.4.2,Television broadcasting
09.4.2,Radio broadcasting
09.4.2,Licence fees for television equipment
09.4.2,Subscriptions to television networks
09.4.2,Services of photographers for film developing
09.4.2,Services of photographers for print processing
09.4.2,Services of photographers for enlarging
09.4.2,Services of photographers for portrait photography
09.4.2,Services of photographers for wedding photography
09.4.2,Services of musicians for private entertainments
09.4.2,Services of clowns for private entertainments
09.4.2,Services of performers for private entertainments
09.4.3,Games of chance
09.4.3,Service charges for lotteries
09.4.3,Service charges for bookmakers
09.4.3,Service charges for totalizators
09.4.3,Service charges for casinos
09.4.3,Service charges for gaming machines
09.4.3,Service charges for bingo halls
09.4.3,Service charges for scratch cards
09.4.3,Service charges for sweepstakes
09.5.1,Books
09.5.1,Books
09.5.1,Atlases
09.5.1,Dictionaries
09.5.1,Encyclopaedias
09.5.1,Textbooks
09.5.1,Guidebooks
09.5.1,Musical scores
09.5.1,Scrapbooks for children
09.5.1,Albums for children
09.5.1,Bookbinding
09.5.2,Newspapers and periodicals
09.5.2,Newspapers
09.5.2,Magazines
09.5.2,Periodicals
09.5.3,Miscellaneous printed matter
09.5.3,Catalogues
09.5.3,Advertising material
09.5.3,Posters
09.5.3,Plain postcards
09.5.3,Picture postcards
09.5.3,Calendars
09.5.3,Greeting cards
09.5.3,Visiting cards
09.5.3,Announcement cards
09.5.3,Message cards
09.5.3,Maps
09.5.3,Globes
09.5.4,Stationery and drawing materials
09.5.4,Writing pads
09.5.4,Envelopes
09.5.4,Account books
09.5.4,Notebooks
09.5.4,Diaries
09.5.4,Pens
09.5.4,Pencils
09.5.4,Fountain pens
09.5.4,Ballpoint pens
09.5.4,Felt-tip pens
09.5.4,Inks
09.5.4,Erasers
09.5.4,Pencil sharpeners
09.5.4,Stencils
09.5.4,Carbon paper
09.5.4,Typewriter ribbons
09.5.4,Inking pads
09.5.4,Correcting fluids
09.5.4,Paper punches
09.5.4,Paper cutters
09.5.4,Paper scissors
09.5.4,Office glues
09.5.4,Adhesives
09.5.4,Staplers
09.5.4,Staples
09.5.4,Paper clips
09.5.4,Drawing pins
09.5.4,Canvas
09.5.4,Paper for drawing and painting
09.5.4,Card for drawing and painting
09.5.4,Paints
09.5.4,Crayons
09.5.4,Pastels
09.5.4,Brushes
09.5.4,Toner cartridges
09.5.4,Ink cartridges
09.5.4,Exercise books
09.5.4,Slide rules
09.5.4,Geometry instruments
09.5.4,Slates
09.5.4,Chalks
09.5.4,Pencil boxes
09.6.0,Package holidays
09.6.0,"All inclusive holidays with travel, food, accommodation, guides"
09.6.0,Half-day excursion tours
09.6.0,One-day excursion tours
09.6.0,Pilgrimages
10.1.0,Pre-primary and primary education
10.1.0,Pre-primary education corresponding to level 0 of ISCED-97
10.1.0,Primary education corresponding to level 1 of ISCED-97
10.1.0,Literacy programmes for students too old for primary school.
10.2.0,Secondary education
10.2.0,Lower-secondary education level 2 of ISCED-97
10.2.0,Upper-secondary education level 3 of ISCED-97
10.2.0,Out-of-school secondary education for adults
10.2.0,Out-of-school secondary education for young people
10.3.0,Post-secondary non-tertiary education
10.3.0,Post-secondary non-tertiary education at Level 4 of ISCED-97.
10.3.0,Out-of-school post-secondary non-tertiary education for adults.
10.3.0,Out-of-school post-secondary non-tertiary education for young people.
10.4.0,Tertiary education
10.4.0,First stage of tertiary education corresponding to level 5 of ISCED-97
10.4.0,Second stage of tertiary education corresponding to level 6 of ISCED-97
10.5.0,Education not definable by level
10.5.0,Educational programmes for adults that do not require prior instruction
10.5.0,Vocational training for adults that do not require prior instruction
10.5.0,Cultural development programmes for adults that do not require prior instruction
11.1.1,"Restaurants, caf�s and the like"
11.1.1,Catering services provided by restaurants
11.1.1,Catering services provided by cafés
11.1.1,Catering services provided by buffets
11.1.1,Catering services provided by bars
11.1.1,Catering services provided by tearooms
11.1.1,Catering services provided in theatres
11.1.1,Catering services provided in cinemas
11.1.1,Catering services provided in sports stadiums
11.1.1,Catering services provided in swimming pools
11.1.1,Catering services provided in sports complexes
11.1.1,Catering services provided in museums
11.1.1,Catering services provided in art galleries
11.1.1,Catering services provided in nightclubs
11.1.1,Catering services provided in dancing establishments
11.1.1,Catering services provided on coaches
11.1.1,Catering services provided on trains
11.1.1,Catering services provided on boats
11.1.1,Catering services provided on aeroplanes
11.1.1,Sale of food products for immediate consumption by kiosks
11.1.1,Sale of food products for immediate consumption by street vendors
11.1.1,Sale of beverages for immediate consumption by kiosks
11.1.1,Sale of beverages for immediate consumption by street vendors
11.1.1,Sale of food products dispensed ready for consumption by automatic vending machines
11.1.1,Sale of beverages dispensed ready for consumption by automatic vending machines
11.1.1,Sale of cooked dishes by restaurants for consumption off their premises
11.1.1,Sale of cooked dishes by catering contractors collected by the customer
11.1.1,Sale of cooked dishes by catering contractors delivered to the customer's home
11.1.1,Tips
11.1.2,Canteens
11.1.2,Catering services of work canteens
11.1.2,Catering services of office canteens
11.1.2,Catering services of canteens in schools
11.1.2,Catering services of canteens in universities
11.1.2,Catering services of canteens in other educational establishments
11.1.2,University refectories
11.1.2,Military messes
11.1.2,Wardrooms
11.2.0,Accommodation services
11.2.0,Accommodation services of hotels
11.2.0,Accommodation services of boarding houses
11.2.0,Accommodation services of motels
11.2.0,Accommodation services of inns
11.2.0,Accommodation services of establishments offering bed and breakfast
11.2.0,Accommodation services of holiday villages
11.2.0,Accommodation services of holiday centres
11.2.0,Accommodation services of camping sites
11.2.0,Accommodation services of caravan sites
11.2.0,Accommodation services of youth hostels
11.2.0,Accommodation services of mountain chalets
11.2.0,Accommodation services of boarding schools
11.2.0,Accommodation services of universities
11.2.0,Accommodation services of other educational establishments
11.2.0,Accommodation services of public transport trains when priced separately
11.2.0,Accommodation services of public transport boats when priced separately
11.2.0,Accommodation services of hostels for young workers
11.2.0,Accommodation services of hostels for immigrants
11.2.0,Tips for accommodation services
11.2.0,Porters for accommodation services
12.1.1,Hairdressing salons and personal grooming establishments
12.1.1,Hairdressing salon services
12.1.1,Barber services
12.1.1,Beauty shop services
12.1.1,Manicure services
12.1.1,Pedicure services
12.1.1,Turkish bath services
12.1.1,Sauna services
12.1.1,Solarium services
12.1.1,Non-medical massage services
12.1.1,Body care services
12.1.1,Depilation services
12.1.2,Electric appliances for personal care
12.1.2,Electric razors
12.1.2,Hair trimmers
12.1.2,Hand-held hairdryers
12.1.2,Hood hairdryers
12.1.2,Curling tongs
12.1.2,Styling combs
12.1.2,Sunlamps
12.1.2,Vibrators
12.1.2,Electric toothbrushes
12.1.2,Electric appliances for dental hygiene
12.1.2,Repair of electric razors
12.1.2,Repair of hair trimmers
12.1.2,Repair of hand-held hairdryers
12.1.2,Repair of hood hairdryers
12.1.2,Repair of curling tongs
12.1.2,Repair of styling combs
12.1.2,Repair of sunlamps
12.1.2,Repair of vibrators
12.1.2,Repair of electric toothbrushes
12.1.2,Repair of electric appliances for dental hygiene
12.1.3,"Other appliances, articles and products for personal care"
12.1.3,Non-electric razors
12.1.3,Non-electric hair trimmers
12.1.3,Blades for non-electric razors and hair trimmers
12.1.3,Scissors for personal care
12.1.3,Nail files for personal care
12.1.3,Combs
12.1.3,Shaving brushes
12.1.3,Hairbrushes
12.1.3,Toothbrushes
12.1.3,Nail brushes
12.1.3,Hairpins
12.1.3,Curlers for hair
12.1.3,Personal weighing machines
12.1.3,Baby scales
12.1.3,Toilet soap
12.1.3,Medicinal soap
12.1.3,Cleansing oil for personal hygiene
12.1.3,Cleansing milk for personal hygiene
12.1.3,Shaving soap
12.1.3,Shaving cream for personal hygiene
12.1.3,Shaving foam for personal hygiene
12.1.3,Toothpaste
12.1.3,Lipstick
12.1.3,Nail varnish
12.1.3,Make-up products
12.1.3,Make-up removal products
12.1.3,Powder compacts for make-up
12.1.3,Brushes for make-up application
12.1.3,Powder puffs for make-up application
12.1.3,Hair lacquers
12.1.3,Hair lotions
12.1.3,Pre-shave products
12.1.3,After-shave products
12.1.3,Sunbathing products
12.1.3,Hair removers
12.1.3,Perfumes
12.1.3,Toilet waters
12.1.3,Personal deodorants
12.1.3,Bath products for personal care
12.1.3,Toilet paper
12.1.3,Paper handkerchiefs
12.1.3,Paper towels
12.1.3,Sanitary towels
12.1.3,Cotton wool for personal care
12.1.3,Cotton tops for personal care
12.1.3,Babies' napkins
12.1.3,Toilet sponges
12.2.0,Prostitution
12.2.0,Services provided by prostitutes
12.3.1,"Jewellery, clocks and watches"
12.3.1,Precious stones
12.3.1,Precious metals
12.3.1,Jewellery fashioned out of precious stones
12.3.1,Jewellery fashioned out of precious metals
12.3.1,Costume jewellery
12.3.1,Cuff links
12.3.1,Tie pins
12.3.1,Clocks
12.3.1,Watches
12.3.1,Stopwatches
12.3.1,Alarm clocks
12.3.1,Travel clocks
12.3.1,Repair of precious stones
12.3.1,Repair of precious metals
12.3.1,Repair of jewellery fashioned out of precious stones
12.3.1,Repair of jewellery fashioned out of precious metals
12.3.1,Repair of costume jewellery
12.3.1,Repair of cuff links
12.3.1,Repair of tie pins
12.3.1,Repair of clocks
12.3.1,Repair of watches
12.3.1,Repair of stopwatches
12.3.1,Repair of alarm clocks
12.3.1,Repair of travel clocks
12.3.2,Other personal effects
12.3.2,Travel goods and carriers of personal effects: suitcases
12.3.2,Travel goods and carriers of personal effects: trunks
12.3.2,Travel goods and carriers of personal effects: travel bags
12.3.2,Travel goods and carriers of personal effects: attaché cases
12.3.2,Travel goods and carriers of personal effects: satchels
12.3.2,Travel goods and carriers of personal effects: handbags
12.3.2,Travel goods and carriers of personal effects: wallets
12.3.2,Travel goods and carriers of personal effects: purses
12.3.2,Articles for babies: baby carriages
12.3.2,Articles for babies: pushchairs
12.3.2,Articles for babies: carrycots
12.3.2,Articles for babies: recliners
12.3.2,Articles for babies: car beds
12.3.2,Articles for babies: car seats
12.3.2,Articles for babies: back carriers
12.3.2,Articles for babies: front carriers
12.3.2,Articles for babies: reins
12.3.2,Articles for babies: harnesses
12.3.2,Articles for smokers: pipes
12.3.2,Articles for smokers: lighters
12.3.2,Articles for smokers: cigarette cases
12.3.2,Articles for smokers: cigar cutters
12.3.2,Articles for smokers: ashtrays
12.3.2,Personal articles: sunglasses
12.3.2,Personal articles: walking sticks
12.3.2,Personal articles: canes
12.3.2,Personal articles: umbrellas
12.3.2,Personal articles: parasols
12.3.2,Personal articles: fans
12.3.2,Personal articles: keyrings
12.3.2,Funerary articles: coffins
12.3.2,Funerary articles: gravestones
12.3.2,Funerary articles: urns
12.3.2,Repair of travel goods and carriers of personal effects
12.3.2,Repair of articles for babies
12.3.2,Repair of articles for smokers
12.3.2,Repair of personal articles
12.3.2,Repair of funerary articles
12.3.2,Lighter fuel
12.3.2,Wall thermometers
12.3.2,Barometers
12.4.0,Social protection
12.4.0,"Residential care, including retirement homes for elderly persons"
12.4.0,Residences for disabled persons
12.4.0,Rehabilitation centres providing long-term support for patients rather than health care and rehabilitative therapy
12.4.0,Schools for disabled persons where the main aim is to help students overcome their disability
12.4.0,"Home help services, including:"
12.4.0,Home-cleaning services for elderly and disabled persons
12.4.0,Meal programmes for elderly and disabled persons
12.4.0,Day-care centres for elderly and disabled persons
12.4.0,Day-care services for elderly and disabled persons
12.4.0,Holiday-care services for elderly and disabled persons
12.4.0,"Child-minding facilities, including:"
12.4.0,Wet-nurses
12.4.0,Crèches
12.4.0,Play schools
12.4.0,Counselling services for families
12.4.0,Guidance services for families
12.4.0,Arbitration services for families
12.4.0,Fostering services for families
12.4.0,Adoption services for families.
12.5.1,Life insurance
12.5.1,Service charges for life assurance
12.5.1,Service charges for death benefit assurance
12.5.1,Service charges for education assurance
12.5.2,Insurance connected with the dwelling
12.5.2,Service charges paid by owner-occupiers for insurance against fire
12.5.2,Service charges paid by owner-occupiers for insurance against theft
12.5.2,Service charges paid by owner-occupiers for insurance against water damage
12.5.2,Service charges paid by tenants for insurance against fire
12.5.2,Service charges paid by tenants for insurance against theft
12.5.2,Service charges paid by tenants for insurance against water damage
12.5.3,Insurance connected with health
12.5.3,Service charges for private sickness insurance.
12.5.3,Service charges for private accident insurance.
12.5.4,Insurance connected with transport
12.5.4,Service charges for insurance in respect of personal transport equipment
12.5.4,Service charges for travel insurance
12.5.4,Service charges for luggage insurance
12.5.5,Other insurance
12.5.5,Service charges for civil liability for injury
12.5.5,Service charges for civil liability for damage to third parties
12.5.5,Service charges for civil liability for damage to property
12.6.1,FISIM
12.6.1,Financial intermediation services indirectly measured.
12.6.2,Other financial services n.e.c.
12.6.2,Actual charges for the financial services of banks
12.6.2,Actual charges for the financial services of post offices
12.6.2,Actual charges for the financial services of saving banks
12.6.2,Actual charges for the financial services of money changers
12.6.2,Actual charges for the financial services of similar financial institutions
12.6.2,Fees and service charges of brokers
12.6.2,Fees and service charges of investment counsellors
12.6.2,Fees and service charges of tax consultants
12.6.2,Administrative charges of private pension funds
12.7.0,Other services n.e.c.
12.7.0,Fees for legal services
12.7.0,Fees for employment agencies
12.7.0,Charges for undertaking services
12.7.0,Charges for other funeral services
12.7.0,Payment for the services of estate agents
12.7.0,Payment for the services of housing agents
12.7.0,Payment for the services of auctioneers
12.7.0,Payment for the services of salesroom operators
12.7.0,Payment for the services of other intermediaries
12.7.0,Payment for photocopies of documents
12.7.0,Payment for other reproductions of documents
12.7.0,Fees for the issue of birth certificates
12.7.0,Fees for the issue of marriage certificates
12.7.0,Fees for the issue of death certificates
12.7.0,Fees for the issue of other administrative documents
12.7.0,Payment for newspaper notices
12.7.0,Payment for newspaper advertisements
12.7.0,Payment for the services of graphologists
12.7.0,Payment for the services of astrologers
12.7.0,Payment for the services of private detectives
12.7.0,Payment for the services of bodyguards
12.7.0,Payment for the services of matrimonial agencies
12.7.0,Payment for the services of marriage guidance counsellors
12.7.0,Payment for the services of public writers
12.7.0,Payment for miscellaneous concessions seats
12.7.0,Payment for miscellaneous concessions toilets
12.7.0,Payment for miscellaneous concessions cloakrooms
13.1.0,Housing
13.1.0,Housing as specified in COPNI 01.0.0
13.1.0,Housing corresponds to 04.1.1
13.1.0,Housing corresponds to 14.1.0
13.2.1,Pharmaceutical products
13.2.1,Pharmaceutical products as specified in COPNI 02.1.1 corresponding to 06.1.1
13.2.1,Pharmaceutical products as specified in COPNI 02.1.1 corresponding to 14.2.1
