Code,Description,ExplanatoryNote
02.1.1,Bebidas destiladas,"- Aguardientes, licores y otros destilados.

Incluye: hidromiel, y los aperitivos que no sean a base de vino (02.1.2)"
02.1.2,Vino,"- Vino, sidra y perada, incluido el saké.
- Aperitivos a base de vino, vino fortificado, champán y otros vinos espumosos."
02.1.3,Cerveza,"- Cerveza de todas clases, como ale, cerveza rubia (lager) y cerveza oscura fuerte (porter)

Incluye: cerveza de bajo contenido alcohólico y cerveza sin alcohol, cerveza con limonada."
02.2.0,Tabaco,"- Cigarrillos, tabaco de liar y papel de fumar;
- Cigarros, tabaco de pipa, tabaco de masticar o rapé."
02.3.0,Estupefacientes,"- Marihuana, opio, cocaína y sus derivados;
- Otros estupefacientes de origen vegetal, como la nuez de cola, la hoja de betel y la nuez de betel;
- Otros estupefacientes, incluidas las drogas químicas y sintéticas."
03.1.1,Materiales para prendas de vestir,"- Materiales para prendas de vestir hechos de fibras naturales o sintéticas, o de la mezcla de ambas."
03.1.2,Prendas de vestir,"- Prendas de vestir para hombres, mujeres, niños (de 3 a 13 años) y lactantes (de 0 a 2 años), tanto listas para llevar como hechas a medida, de todos los materiales (incluidos cuero, pieles, plásticos y goma), para llevar a diario, de deporte o para el trabajo;
- Capas, sobretodos, impermeables, anoraks, parcas, zamarras, chaquetas, pantalones, guerreras, ternos, trajes, vestidos, faldas, etcétera;
- Camisas, blusas, jerseys, suéteres, chaquetas de punto, pantalones cortos, trajes de baño, trajes de atletismo, chándales, sudaderas, camisetas, leotardos, etc.;
- Chalecos, calzoncillos, calcetines, medias, mallas, enaguas, corpiños, bragas, calzones, fajas, corsés, maillots, etcétera;
- Pijamas, camisas de dormir, camisones, batas, cambiadores, albornoces, etc.;
- Vestidos y botines de tela para lactantes."
03.1.3,Otros artículos y accesorios de vestir,"- Corbatas, pañuelos, bufandas, pañoletas, guantes, manoplas, manguitos, cinturones, tirantes, delantales, vestidos maternales, baberos, salvamangas, sombreros, gorras, boinas, capotes, etcétera.
- Hilos de coser, hilos de punto y accesorios de sastrería como hebillas, botones, broches de presión, cremalleras, cintas, encajes, ribetes, etcétera.

Incluye: guantes de jardinería y guantes de trabajo, cascos protectores para motociclistas y ciclistas."
03.1.4,"Limpieza, reparación y alquiler de prendas de vestir","- Limpieza en seco, lavandería y tinte de prendas de vestir;
- Zurcido, arreglo, reparación y modificación de prendas de vestir;
- Alquiler de prendas de vestir.

Incluye: importe total del servicio de reparación (es decir, tanto el costo de la mano de obra como el de los materiales)."
03.2.1,Zapatos y otros calzados,"- Calzado de todas clases para hombres, mujeres, niños (de 3 a 13 años) y lactantes (de 0 a 2 años), incluido el calzado deportivo que pueda utilizarse a diario o para actividades recreativas (calzado para correr, de carreras de fondo, de tenis, de baloncesto, náutico, etcétera).

Incluye: borceguíes, polainas y artículos análogos; cordones para zapatos; partes del calzado, como tacones, suelas, etcétera, compradas por los hogares para llevar a cabo reparaciones por su cuenta."
03.2.2,Reparación y alquiler de calzado,"- Reparación de calzado: servicios de limpieza de calzado;
- Alquiler de calzado.

Incluye: el importe total del servicio de reparación (es decir, tanto el costo de la mano de obra como el de los materiales)."
04.1.1,Alquileres efectivos pagados por los inquilinos,"- Alquileres efectivos pagados por los inquilinos o subarrendatarios que ocupan locales, amueblados o no, como residencia principal.

Incluye: los pagos de hogares que ocupen una habitación en un hotel o pensión como residencia principal."
04.1.2,Otros alquileres efectivos,- Los alquileres efectivos que se pagan por segundas residencias.
04.2.1,Alquileres imputados de los propietarios-ocupantes,- Los alquileres imputados de los propietarios que ocupan su residencia principal.
04.2.2,Otros alquileres imputados,"- Alquileres imputados por segundas residencias;
- Alquileres imputados de los hogares que pagan un alquiler reducido o que se alojan gratuitamente."
04.3.1,Materiales para la conservación y la reparación de la vivienda,"- Productos y materiales, como pinturas y barnices, enlucidos, papeles pintados, recubrimientos textiles para paredes, cristal para ventanas, yeso, cemento, masilla, colas de empapelar, etcétera, que se compren para la conservación y reparación menores de la vivienda.

Incluye: pequeños artículos de fontanería (tubos, grifos, juntas, etcétera), materiales para el acabado de superficies (tablones para el piso, baldosas de cerámica, etcétera) y cepillos y raspadores para pintura, barnices o papeles pintados."
04.3.2,Servicios para la conservación y la reparación de la vivienda,"- Servicios de fontaneros, electricistas, carpinteros, vidrieros, pintores, decoradores, pulidores, etcétera, para la conservación y reparación menores de la vivienda.

Incluye: importe total del servicio (es decir, tanto el coste de la mano de obra como el de los materiales)."
04.4.1,Suministro de agua,"- Suministro de agua.

Incluye: gastos relacionados como alquiler de contadores, lectura de contadores, gastos fijos, etcétera."
04.4.2,Recogida de basuras,- Recogida y eliminación de basuras.
04.4.3,Alcantarillado,- Alcantarillado y eliminación de residuos.
04.4.4,Otros servicios relacionados con la vivienda n.e.p.,"- Gastos de copropiedad en concepto de conservación, jardinería, limpieza de escaleras, calefacción y alumbrado, conservación de ascensores y ductos para el vertimiento de basuras, etcétera, en comunidades de vecinos;
- Servicios de seguridad;
- Retirada de nieve y limpieza de chimeneas."
04.5.1,Electricidad,"- Electricidad.

Incluye: gastos conexos, como alquiler de medidores, lectura de medidores, gastos fijos, etcétera."
04.5.2,Gas,"- Gas natural y gas de ciudad;
- Hidrocarburos licuados (butano, propano, etcétera).

Incluye: gastos conexos, como alquiler de medidores, lectura de medidores, recipientes de almacenamiento, gastos fijos, etcétera."
04.5.3,Combustibles líquidos,- Combustible para calefacción e iluminación domésticos.
04.5.4,Combustibles sólidos,"- Carbón, coque, briquetas, leña, carbón de leña, turba, etcétera."
04.5.5,Energía calórica,"- Agua caliente y vapor comprados a plantas de calefacción de distrito.

Incluye: gastos conexos, como alquiler de medidores, lectura de medidores, gastos fijos, etcétera; hielo empleado para enfriamiento y refrigeración."
05.1.1,Muebles y accesorios,"- Camas, sofás, sillones, mesas, sillas, aparadores, armarios y bibliotecas;
- Equipo de iluminación, como luces para cielo raso, lámparas estándar, apliques y veladores;
- Cuadros, esculturas, grabados, tapices y otros objetos artísticos, incluidas las reproducciones de obras de arte y otros ornamentos;
- Biombos, tabiques plegables y otros muebles y accesorios.

Incluye: entrega e instalación, cuando proceda; somieres, colchones, tatamis; gabinetes de baño; muebles para lactantes, como cunas, sillas altas y corralitos; persianas, muebles para campamento y jardín; espejos, candelabros y velas."
05.1.2,Alfombras y otros materiales para pisos,"- Alfombras sueltas, alfombras de medida, linóleo y otros materiales similares para pisos.

Incluye: colocación de los materiales."
05.1.3,"Reparación de muebles, accesorios y materiales para pisos","- Reparación de muebles, accesorios y materiales para pisos.

Incluye: el valor total del servicio (o sea, se incluye tanto el costo de la mano de obra como el de los materiales); restauración de obras de arte, muebles antiguos y materiales para pisos antiguos que no sean los adquiridos principalmente por su valor (formación de capital)."
05.2.0,Productos textiles para el hogar,"- Telas para muebles, material para cortinas, cortinas, cortinas dobles, toldos, cortinas para puertas y persianas de tela;
- Ropa de cama como colchonetas, almohadas, almohadones y hamacas;
- Ropa de cama como sábanas, fundas de almohada, mantas, mantas de viaje, tartanes, edredones, cubrecamas y mosquiteros;
- Ropa de mesa y de tocador, como manteles, servilletas y toallas;
- Otros productos textiles para el hogar, como sacos para compras, sacos para ropa, sacos para zapatos, cubrerropas y cubremuebles, banderas, toldos, etcétera;
- La reparación de ese tipo de artículos.

Incluye: tela comprada por pieza, hules, alfombras de baño, esteras de junco y felpudos."
05.3.1,"Artefactos para el hogar grandes, eléctricos o no","- Neveras, congeladores y neveras/congeladores;
- Lavarropas, secadoras, gabinetes de secado, lavaplatos, máquinas de planchado y prensado;
- Hervidores, asadores, repisas de hogares, cocinas, hornos y hornos de microondas;
- Acondicionadores de aire, humidificadores, calentadores de ambiente, calentadores de agua, ventiladores y extractores de aire con campana;
- Aspiradoras, máquinas de limpieza al vapor, máquinas de lavado de alfombras y máquinas de lijado y rasqueteado, encerado y lustrado de pisos;
- Otros artefactos para el hogar grandes, como cajas fuertes, máquinas de coser, máquinas de tejer, máquinas para quitar dureza al agua.

Incluye: entrega e instalación de los artefactos, cuando proceda."
05.3.2,Artefactos eléctricos para el hogar pequeños,"- Molinillos de café, cafeteras, extractores de jugo, abrelatas, procesadoras de alimentos, freidoras, asadoras de carne, cuchillos, tostadoras, máquinas de hacer helados, sorbetes y yogur, hornillos, planchas, teteras, ventiladores, mantas eléctricas, etcétera."
05.3.3,Reparación de artefactos para el hogar,"- Reparación de artefactos para el hogar.

Incluye: el valor total del servicio (es decir, se incluye tanto el costo de la mano de obra como de los materiales); cargos por alquiler de artefactos grandes para el hogar."
05.4.0,"Artículos de vidrio y cristal, vajilla y utensilios para el hogar","- Artículos de vidrio, cristal, cerámica y porcelana utilizados para la mesa, la cocina, el baño, el tocador, la oficina y la decoración de interiores;
- Cuchillos, cubiertos y platería;
- Utensilios de cocina que no sean eléctricos y artefactos como cacerolas, ollas, ollas a presión, sartenes, molinillos de café, pasapurés, picadoras, hornillos, balanzas para el hogar y otros aparatos mecánicos similares;
- Artículos para el hogar, que no sean eléctricos, y cualquier tipo de material, como recipientes para pan, café, especies, etcétera, cubos de basura, cestos para papeles, cestos para ropa, cajas de seguridad portátiles y cajas con cerradura, toalleros, bodeguitas, planchas y tablas de planchar, buzones, biberones, termos y heladeras portátiles;
- La reparación de ese tipo de artículos."
05.5.1,Herramientas y equipo grandes,"- Herramientas y equipo motorizados, como taladros, sierras, pulidoras y cortadoras eléctricos, tractores para jardín, cortadoras de césped, cultivadores, sierras de cadena y bombas de agua;
- La reparación de ese tipo de artículos.

Incluye: los cargos por el alquiler de maquinaria y equipo para aficionados."
05.5.2,Herramientas pequeñas y accesorios diversos,"- Herramientas de mano como sierras, martillos, destornilladores, llaves de tuercas, pinzas, cepilladoras, escofinas y limas;
- Herramientas de jardín como carretillas, regaderas, mangueras, azadas, palas, rastrillos, tridentes, guadañas, hoces y secadores;
- Escaleras;
- Accesorios para puertas (bisagras, manijas y cerraduras), accesorios para radiadores y hogares, otros artículos de metal para el hogar (rieles para cortinas, varillas para alfombras, ganchos, etcétera) o para el jardín (cadenas, cuadrículas, estacas y segmentos de arco para verjas y bordes);
- Accesorios eléctricos pequeños, como enchufes e interruptores eléctricos, cables, bombillas eléctricas, tubos fluorescentes, soldadores y sopletes, linternas, lámparas de mano, baterías eléctricas para uso general, timbres y alarmas;
- La reparación de ese tipo de artículos."
05.6.1,Bienes para el hogar no duraderos,"- Productos de limpieza y conservación, como jabones, polvos de lavar, jabones en polvo, jabones líquidos, polvos de limpieza, detergentes, lejías desinfectantes, suavizantes, acondicionadores, productos para la limpieza de ventanas, ceras, lustradores, anilinas, destapadores, desinfectantes, insecticidas, fungicidas y agua destilada;
- Artículos de limpieza como escobas, estregaderas, cogedores para la basura y cepillos de limpieza, plumeros, paños de cocina, trapos de piso, esponjas para el hogar, polvos de limpieza, lanas de acero y gamuzas;
- Productos de papel, como filtros, manteles y servilletas; toallas de papel, bolsas para aspiradoras y vajilla descartable de cartón, incluidos el papel de aluminio y revestimientos plásticos para recipientes;
- Otros artículos para el hogar no duraderos, como fósforos, mechas para lámparas, alcoholes desnaturalizados, colgadores, perchas, alfileres, imperdibles, agujas de coser, agujas de tejer, dedales, clavos, tornillos, tuercas y pernos, tachuelas, arandelas, adhesivos y cintas adhesivas de uso doméstico, cuerdas, cordeles y guantes de goma.

Incluye: pomadas, cremas y otros artículos para la limpieza de calzado; extintores de incendios para los hogares."
05.6.2,Servicios domésticos y para el hogar,"- Servicios domésticos a cargo de personal pagado, empleado en servicio privado, como mayordomos, cocineros, mucamas, conductores, jardineros, institutrices, secretarios, tutores y niñeras;
- Servicios similares, incluidos los servicios de niñeras y mucamas a cargo de empresas o de empleados independientes;
- Servicios para el hogar, como limpieza de ventanas, desinfección, fumigación y exterminación de insectos y alimañas;
- Limpieza en seco, lavado y teñido de ropa, tejidos y alfombras hogareños;
- Alquiler de mobiliario, accesorios, alfombras, equipo para el hogar y ropa para el hogar."
06.1.1,Productos farmacéuticos,"- Preparaciones médicas, medicamentos, medicamentos patentados, sueros y vacunas, vitaminas y minerales, aceite de hígado de bacalao y aceite de hígado de mero, anticonceptivos orales."
06.1.2,Otros productos médicos,"- Termómetros clínicos, vendas adhesivas y no adhesivas, agujas hipodérmicas, botiquines de primeros auxilios, botellas de agua caliente y bolsas de hielo, productos para traumatología como medias elásticas y soportes para rodilla, pruebas de embarazo, preservativos y otros dispositivos anticonceptivos mecánicos."
06.1.3,Artefactos y equipo terapéuticos,"- Anteojos de corrección y lentes de contacto, audífonos, ojos de vidrio, miembros artificiales y otros artefactos prostéticos, soportes ortopédicos, calzado ortopédico, cinturones quirúrgicos, bragueros y soportes, soportes de cuello, equipo de masaje médico y lámparas sanitarias, sillas de rueda motorizadas o no y vehículos para discapacitados, camas ""especiales"", muletas, artefactos electrónicos y de otro tipo para la medición de la presión sanguínea, etcétera;
- Reparación de ese tipo de artículos.

Incluye: dentaduras postizas, pero no el costo de su instalación."
06.2.1,Servicios médicos,"- Consultas a médicos en general o a especialistas.

Incluye: servicios de especialistas en ortodoncia."
06.2.2,Servicios dentales,"- Servicios de dentistas, higienistas y otros auxiliares.

Incluye: costo de la aplicación de las dentaduras postizas."
06.2.3,Servicios paramédicos,"- Servicios de laboratorios de análisis médicos y centros radiográficos;
- Servicios de enfermeras y obstetras independientes;
- Servicios de acupunturistas, traumatólogos, optometristas, fisioterapistas, fonoaudiólogos independientes, etcétera;
- Terapia de gimnasia correctiva recetada por médicos;
- Baños termales o tratamientos con agua de mar para pacientes externos;
- Servicios de ambulancia;
- Alquiler de equipo terapéutico.

Incluye: servicios de especialistas en medicina tradicional."
06.3.0,Servicios de hospital,"Los servicios de hospital incluyen la prestación de los servicios siguientes a los pacientes internos:
- Servicios básicos: administración, alojamiento, comida y bebida, supervisión y atención por personal no especializado (auxiliares de enfermería), primeros auxilios y vuelta en sí, transporte en ambulancias, suministros de medicamentos y otros productos farmacéuticos; suministro de artefactos y equipo terapéuticos;
- Servicios médicos: servicios de médicos generales o de especialistas, cirujanos y dentistas; análisis médicos y radiografías; servicios paramédicos, como los de enfermeros, obstetras, traumatólogos, optometristas, fisioterapeutas, fonoaudiólogos, etcétera."
07.1.1,Vehículos a motor,"- Vehículos a motor, vehículos para pasajeros, camionetas y otros vehículos similares, con tracción en dos o cuatro ruedas."
07.1.2,Motocicletas,"- Motocicletas de todo tipo, motonetas y bicicletas con motor.

Incluye: el cochecito lateral para motocicletas; vehículos para nieve."
07.1.3,Bicicletas,"- Bicicletas y triciclos de todo tipo.

Incluye: carruajes de tracción humana (""rickshaws"")."
07.1.4,Vehículos de tracción animal,"- Vehículos de tracción animal.

Incluye: los animales necesarios para tirar de los vehículos y el equipo conexo (yugos, collares, arneses, frenos, riendas, etcétera)."
07.2.1,Piezas de repuesto y accesorios para equipo de transporte personal,"Neumáticos (nuevos, usados o recauchutados), cámaras para neumáticos, bujías, baterías, amortiguadores, filtros, bombas y otras piezas de repuesto o accesorios para equipo de transporte personal.

Incluye: extintores de incendios para equipo de transporte; productos empleados concretamente para la limpieza y la conservación de equipo de transporte, como pintura, limpiadores de cromo, selladores y ceras para carrocería; cubiertas para automotores, motocicletas, etcétera."
07.2.2,Combustibles y lubricantes para equipo de transporte personal,"- Gasolina y otros combustibles, como combustible diésel, gas licuado, alcohol y mezclas para motores de dos tiempos;
- Lubricantes, fluidos para frenos y transmisión, líquidos refrigerantes y aditivos.

Incluye: combustible para las herramientas y equipo grandes incluidos en el rubro (05.5.1) y para los vehículos de recreación incluidos en el rubro (09.2.1)."
07.2.3,Conservación y reparación de equipo de transporte personal,"- Servicios adquiridos para la conservación y reparación de equipo de transporte personal, como instalación de partes y accesorios, balanceo de ruedas, inspección técnica, servicios en casos de rotura, cambios de aceite, engrasado y lavado.

Incluye: el valor total del servicio (o sea, se incluye tanto el costo de la mano de obra como el de los materiales)."
07.2.4,Otros servicios relativos al equipo de transporte personal,"- Alquiler de garajes o espacios de estacionamiento que no se refieran al estacionamiento prestado por el edificio;
- Instalaciones de peaje (puentes, túneles, transbordadores, autopistas) y parquímetros;
- Lecciones de conducir, ensayos de conducción y licencias para conducir;
- Ensayos para determinar la condición del vehículo;
- Alquiler de equipo de transporte personal, sin conductor."
07.3.1,Transporte de pasajeros por ferrocarril,"- Transporte de personas o grupos de personas y equipaje por tren, tranvía y subterráneo.

Incluye: transporte de vehículos privados."
07.3.2,Transporte de pasajeros por carretera,"- Transporte de personas o grupos de personas y equipaje por ómnibus, colectivo, taxi o vehículo alquilado con chófer."
07.3.4,Transporte de pasajeros por mar y cursos de agua interiores,"- Transporte de personas o grupos de personas y equipaje por buque, navío, transbordador, vehículo de colchón de aire y aerodeslizador.

Incluye: transporte de vehículos privados."
07.3.5,Transporte combinado de pasajeros,"- Transporte de personas y grupos de personas y equipaje por dos o más modos de transporte, cuando el gasto no se puede distribuir entre ellos.

Incluye: transporte de vehículos privados."
07.3.6,Otros servicios de transporte adquiridos,"- Transporte por funicular, cablecarril y aerosilla;
- Servicios de remoción y almacenamiento;
- Servicios de portería, de depósito de equipaje y oficinas dedicadas al transporte de equipaje;
- Comisiones de los agentes de viaje, si se cobran por separado."
08.1.0,Servicios postales,"- Pago para el envío de cartas, postales y paquetes;
- Correo privado y envío de paquetes.

Incluye: todas las compras de nuevos sellos postales, tarjetas postales con el franqueo pagado y aerogramas."
08.2.0,Equipo telefónico y de facsímile,"- Compra de teléfonos, radioteléfonos, máquinas de facsímile, contestadores automáticos y altoparlantes para teléfonos;
- La reparación de ese tipo de equipo."
08.3.0,Servicios telefónicos y de facsímile,"- Gastos de instalación y subscripción del equipo telefónico personal;
- Llamadas telefónicas de una línea privada o de una línea pública (teléfono público, cabina en oficinas de correos, etcétera); llamadas telefónicas desde hoteles, cafés, restaurantes y lugares similares;
- Servicios de telegrafía, télex y facsímile;
- Servicios de transmisión de información; servicios de conexión a la Internet;
- Alquiler de teléfonos, máquinas de facsímile, contestadores telefónicos y altoparlantes para teléfonos.

Incluye: servicios de radiotelefonía, radiotelegrafía y radiotélex."
09.1.1,"Equipo para la recepción, grabación y reproducción de sonidos e imágenes","- Aparatos de televisión, reproductoras y grabadores en cinta de vídeo, antenas de televisión de todo tipo;
- Aparatos de radio, radios para automóviles, radiorrelojes, transmisores/receptores de radio, receptores y transmisores para radioaficionados;
- Tocadiscos, reproductoras y grabadoras de cinta, reproductoras y grabadoras de casetes, aparatos de CD, aparatos estereofónicos personales, sistemas estereofónicos y sus componentes (bandejas giradiscos, sintonizadores, amplificadores, altoparlantes, etcétera), micrófonos y audífonos."
09.1.2,Equipo fotográfico y cinematográfico e instrumentos ópticos,"- Cámaras fotográficas, cámaras cinematográficas y cámaras grabadoras de sonido, videocámaras y cámaras grabadoras, proyectores de películas y diapositivas, ampliadoras y equipo de procesamiento fotográfico, accesorios (pantallas, visores, lentes, lámparas de destello, filtros, fotómetros, etcétera);
- Binoculares, microscopios, telescopios y brújulas."
09.1.3,Equipo de procesamiento e información,"- Computadoras personales y monitores, pantallas, impresoras, programas y accesorios diversos que las acompañan; paquetes de programas para computadoras, como sistemas operativos, aplicaciones, lenguajes, etcétera;
- Calculadoras, incluidas las calculadoras de bolsillo;
- Máquinas de escribir y procesadores de texto.

Incluye: servicios de facsímile y contestadores telefónicos suministrados por computadoras personales."
09.1.4,Medios para grabación,"- Discos y discos compactos;
- Cintas pregrabadas, casetes, casetes de vídeo, disquetes y CD-ROM para grabadoras de cinta, grabadoras de casete, grabadoras de vídeo y computadoras personales;
- Cintas, casetes, casetes de vídeo, disquetes y CD-ROM vírgenes para grabadoras de cinta, grabadoras de casete, grabadoras de vídeo y computadoras personales;
- Películas, cartuchos y discos vírgenes para uso fotográfico y cinematográfico.

Incluye: cintas pregrabadas y discos compactos de novelas, obras de teatro, poesía, etcétera; disquetes pregrabados y CD-ROM que contengan libros, diccionarios, enciclopedias, cursos de idiomas, presentaciones multimedia, etcétera, en forma de programas de computadora; artículos para fotografía, como papel y lámparas de destello; película virgen en cuyo precio se incluye el costo del revelado sin identificarlo por separado."
09.1.5,"Reparación de equipo audiovisual, fotográfico y de procesamiento de información","- Reparación de equipo audiovisual, fotográfico y de procesamiento de información.

Incluye: el valor total del servicio (o sea, se incluye tanto el costo de la mano de obra como el de los materiales)."
09.2.1,Artefactos duraderos importantes para recreación en exteriores,"- Casas rodantes y remolques;
- Aeroplanos, aeronaves ligeras, planeadores, alas delta y globos de aire caliente;
- Botes, motores de fuera de borda, velas, aparejos y superestructura;
- Caballos y ponis, vehículos a tracción de caballos o ponis y equipo conexo (arneses, frenos, riendas, monturas, etcétera);
- Artículos importantes para juegos y deportes, como canoas, kayaks, tablas de surf a vela, equipo de buceo y carros de golf.

Incluye: preparación de botes, casas rodantes, etcétera."
09.2.2,Instrumentos musicales y equipos duraderos importantes para recreación en interiores,"- Instrumentos musicales de todos los tamaños, incluidos los instrumentos musicales electrónicos, como pianos, órganos, violines, guitarras, baterías, trompetas, clarinetes, flautas, flautas dulces, armónicas, etcétera;
- Mesas de billar, mesas para tenis de mesa, máquinas de ""pin-ball"", máquinas para juegos, etcétera."
09.2.3,Conservación y reparación de otros bienes duraderos importantes para recreación y cultura,"- Conservación y reparación de otros artefactos duraderos importantes para recreación y cultura.

Incluye: el valor total del servicio (es decir, se incluye tanto el costo de la mano de obra como el de los materiales); preparación para el invierno de botes, casas rodantes, etcétera; servicios de hangar para aviones privados; servicios de muelle para botes; servicios veterinarios y de otro tipo (estabulación, herrería, alimentación, etcétera) para caballos y ponis comprados para entretenimiento."
09.3.1,"Juegos, juguetes y aficiones","- Juegos de naipes, juegos de salón, juegos de ajedrez y otros similares;
- Juguetes de todo tipo, con inclusión de muñecas, juguetes blandos, autos y trenes de juguete, bicicletas y triciclos de juguete, equipos de construcción de juguete, rompecabezas, plastilina, juegos electrónicos, máscaras, disfraces, bromas, novedades, fuegos artificiales y cohetes, guirnaldas y decoraciones para árboles de Navidad;
- Artículos para la colección de estampillas (sellos postales usados o cancelados, álbumes para estampillas, etcétera), otros artículos de colección (monedas, medallas, minerales, especímenes zoológicos y botánicos, etcétera) y otras herramientas y artículos necesarios para las aficiones.

Incluye: programas para videojuegos; computadoras de videojuegos que se enchufan en el aparato de televisión; casetes y CD-ROM de videojuegos."
09.3.2,"Equipo de deportes, campamentos y recreación al aire libre","- Equipo de gimnasia, educación física y deportes, como pelotas, rehiletes, redes, raquetas, bates, esquís, palos de golf, floretes, sables, pértigas, pesas, discos, jabalinas, pesas de mano, ampliadores pectorales y otros equipos para el desarrollo de la musculatura;
- Paracaídas y otro equipo de paracaidismo;
- Armas de fuego y municiones para caza, deporte y protección personal;
- Cañas de pescar y otro equipo de pesca;
- Equipo para juegos de playa y al aire libre, como bolos, croquet, ""frisbee"", voleibol, botes, balsas y piscinas inflables;
- Equipo de campamento, como tiendas y accesorios, sacos de dormir, mochilas, colchones de aire e infladores, cocinas y parrillas de campamento;
- La reparación de ese tipo de artículos.

Incluye: calzado para deportes (botas de esquí, botines de fútbol, zapatos de golf y otro tipo de calzado con cuchillas de patinaje, ruedas, clavos, etcétera); equipo de protección para deportes; otro equipo de protección para deportes como chalecos salvavidas, guantes de boxeo, acolchado para el cuerpo, canilleras, anteojeras, cinturones, soportes, etcétera."
09.3.3,"Jardines, plantas y flores","- Flores y hojas naturales o artificiales, plantas, arbustos, bulbos, tubérculos, semillas, fertilizantes, abonos, turba de jardín, césped para patios, suelos tratados especialmente para jardines ornamentales, preparaciones hortícolas, macetas y portamacetas.

Incluye: árboles de Navidad naturales y artificiales; cargos por entrega de flores y plantas."
09.3.4,Animales domésticos y productos conexos,"- Animales domésticos, alimentos para animales domésticos, productos de veterinaria y cuidado de animales domésticos, collares, traíllas, perreras, jaulas, acuarios, materiales absorbentes para la higiene de gatos, etcétera."
09.3.5,Servicios de veterinaria y de otro tipo para animales domésticos,"- Servicios de veterinaria y de otro tipo para animales domésticos, como acicalamiento, alojamiento, tatuaje y entrenamiento."
09.4.1,Servicios de recreación y deportivos,"- Servicios prestados por:
* Estadios deportivos, hipódromos, autódromos, velódromos, etcétera;
* Pistas de patinaje, piscinas, canchas de golf, gimnasios, centros de preparación física, canchas de tenis, canchas de ""squash"" y canchas de bolos;
* Ferias y parques de diversiones;
* Tiovivos, columpios de tabla y otros juegos de plaza para niños;
* Máquinas de ""pin-ball"" y otros juegos para adultos que no sean de azar;
* Pistas de esquí, aerosillas y otras instalaciones similares;
- Alquiler de equipo y accesorios para deporte y recreación, como aeroplanos, botes, caballos, equipo de esquí y campamento;
- Lecciones individuales o en grupo, fuera de instituciones, de bridge, ajedrez, gimnasia, baile, música, patinaje, esquí, natación y otros pasatiempos;
- Servicios de guías de montaña, guías de viaje, etcétera;
- Servicios de asistencia a la navegación para botes.

Incluye: alquiler de calzado para deportes concretos (botas de esquí, botines de fútbol, zapatos de golf y calzado de ese tipo con cuchillas de patinaje, ruedas, clavos, etcétera)."
09.4.2,Servicios culturales,"- Servicios prestados por:
* Cines, teatros, teatros de ópera, salas de concierto, teatros de variedades, circos, espectáculos de luz y sonido;
* Museos, bibliotecas, galerías de arte, exposiciones;
* Monumentos históricos, parques nacionales, jardines zoológicos y botánicos, acuarios;
- Alquiler de equipo y accesorios para cultura, aparatos de televisión, reproductoras de vídeo, etcétera;
- Transmisiones de televisión y radio, en particular las tarifas de licencia para equipo de televisión y suscripción a redes de televisión;
- Servicios de fotógrafos, revelado de películas, procesamiento de impresiones, ampliación, fotografía de retratos, de bodas, etcétera.

Incluye: servicios de músicos, payasos y actores para entretenimiento privado."
09.4.3,Juegos de azar,"- Cargos de servicio para loterías, apostadores, totalizadores, casinos y otros establecimientos de juego, máquinas de juego, salones de bingo, tarjetas de raspado, sorteos, etcétera (el cargo de servicio se define como la diferencia entre la suma pagada por los billetes de lotería o apostada y la suma pagada a los ganadores)."
09.5.1,Libros,"- Libros, incluidos atlas, diccionarios, enciclopedias, libros de texto, guías y partituras musicales.

Incluye: álbumes y álbumes de recortes para niños; encuadernado."
09.5.2,Diarios y periódicos,"- Diarios, revistas y otros periódicos."
09.5.3,Material impreso diverso,"- Catálogos y material de publicidad;
- Carteles, tarjetas postales lisas o con imágenes, calendarios;
- Tarjetas de felicitación o de visita, anuncios y tarjetas con mensajes;
- Mapas y globos terráqueos."
09.5.4,Papel y útiles de oficina y materiales de dibujo,"- Anotadores, sobres, libros de contabilidad, cuadernos, diarios, etcétera;
- Lapiceros, lápices, lapiceras fuente o plumas estilográficas, bolígrafos, marcadores, tintas, gomas de borrar, sacapuntas, etcétera;
- Esténciles y modelos calados para estarcir, papel carbón, cintas para máquina de escribir, almohadillas entintadas, líquidos correctores, etcétera;
- Perforadoras de papel, cortadoras de papel, tijeras para papel, gomas y adhesivos para oficina, grapadoras y grapas, broches para papel, alfileres para dibujo, etc.;
- Materiales de dibujo y pintura, como telas, papel, cartón, pinturas, lápices blandos para colorear, pasteles y pinceles.

Incluye: cartuchos de tóner y de tinta, materiales educativos como libros con ejercicios, reglas de cálculo, instrumentos de geometría, pizarras, tiza y estuches para lápices."
09.6.0,Paquetes turísticos,"- Vacaciones o viajes con todo incluido, a saber, viaje, comida, alojamiento, guías, etcétera.

Incluye: viajes de excursión de medio día y un día de duración; peregrinajes."
10.1.0,Enseñanza preescolar y enseñanza primaria,"- Niveles 0 y 1 de la CINE-97: enseñanza preescolar y primaria.

Incluye: programas de alfabetización para alumnos de edad muy superior a la que corresponde a la escuela primaria."
10.2.0,Enseñanza secundaria,"- Niveles 2 y 3 de la CINE-97: primer y segundo ciclo de enseñanza secundaria.

Incluye: enseñanza secundaria extraescolar para adultos y jóvenes."
